WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	147329	605842	1218742	611645	3290760	600055	0.82767	605842	0.98997	611645	1.05256	600055	178004.518709147	605842	1231089.83100498	611645	3126434.59755263	616606	148978	622394	1236998	628197	3340919	616606	0.82807	622394	0.98968	628197	1.05203	616606	179909.910997862	622394	1249896.93638348	628197	3175687.95566666	633173	144302	638961	1244719	644764	3334766	633173	0.8285	638961	0.9905	644764	1.05306	633173	174172.601086301	638961	1256657.24381625	644764	3166738.83729322
7	720066	147061	725853	1219240	731656	3281692	720066	0.82913	725853	0.99075	731656	1.05333	720066	177367.84340212	725853	1230623.26520313	731656	3115540.23905139	736633	148735	742405	1236244	748208	3335254	736633	0.82932	742405	0.99122	748208	1.05363	736633	179345.729031013	742405	1247194.36653821	748208	3165488.8338411	753184	144305	758972	1245466	764775	3331144	753184	0.82948	758972	0.99167	764775	1.05348	753184	173970.439311376	758972	1255927.87923402	764775	3162038.19721305
8	840077	147109	845880	1218923	851667	3279489	840077	0.82917	845880	0.99134	851667	1.05365	840077	177417.176212357	845880	1229571.08560131	851667	3112503.20315095	856644	149085	862431	1234265	868235	3332374	856644	0.82951	862431	0.99156	868235	1.05344	856644	179726.585574616	862431	1244770.86610997	868235	3163325.86573512	873211	144033	878999	1238284	884802	3319466	873211	0.82943	878999	0.99128	884802	1.05406	873211	173652.990608008	878999	1249176.82188685	884802	3149219.20953266
9	960088	146505	965875	1216926	971678	3272758	960088	0.83119	965875	0.992	971678	1.05472	960088	176259.339019959	965875	1226739.91935484	971678	3102963.81978155	976655	149102	982427	1235575	988230	3330000	976655	0.82997	982427	0.99225	988230	1.05414	976655	179647.457137005	982427	1245225.49760645	988230	3158973.1914167	993206	144489	998994	1237368	1004797	3317440	993206	0.82959	998994	0.99207	1004797	1.05421	993206	174169.167902217	998994	1247258.76198252	1004797	3146849.29947544
10	1080099	147511	1085902	1215805	1091705	3274117	1080099	0.82972	1085902	0.9924	1091705	1.05448	1080099	177784.071735043	1085902	1225115.88069327	1091705	3104958.84227297	1096666	149335	1102453	1235687	1108257	3325995	1096666	0.83012	1102453	0.99212	1108257	1.05462	1096666	179895.67773334	1102453	1245501.55223158	1108257	3153737.83922171	1113233	144367	1119021	1240383	1124824	3313989	1113233	0.83069	1119021	0.99287	1124824	1.0548	1113233	173791.667168258	1119021	1249290.44084321	1124824	3141817.40614335
11	1200110	133763	1205897	772878	1211700	3063825	1200110	0.82998	1205897	0.9937	1211700	1.05466	1200110	161164.124436733	1205897	777778.001408876	1211700	2905035.74611723	1216677	139939	1222464	830908	1228268	3189512	1216677	0.83084	1222464	0.99279	1228268	1.05535	1216677	168430.744788407	1222464	836942.354375044	1228268	3022231.48718435	1233244	132980	1239032	812590	1244819	3141926	1233244	0.83023	1239032	0.99243	1244819	1.0553	1233244	160172.482324175	1239032	818788.226877462	1244819	2977282.28939638
12	1320121	131934	1325908	387200	1331711	3054582	1320121	0.83026	1325908	0.99305	1331711	1.05515	1320121	158906.84845711	1325908	389909.873621671	1331711	2894926.78766052	1336672	139286	1342460	424890	1348263	3172970	1336672	0.83029	1342460	0.99306	1348263	1.05521	1336672	167755.844343543	1342460	427859.343846293	1348263	3006955.96137262	1353255	131261	1359027	402445	1364815	3129825	1353255	0.83063	1359027	0.99309	1364815	1.05591	1353255	158025.835811372	1359027	405245.244640466	1364815	2964102.05415234
13	1440132	130540	1445935	210927	1451738	3046780	1440132	0.83071	1445935	0.99302	1451738	1.05587	1440132	157142.685172924	1445935	212409.619141608	1451738	2885563.56369629	1456714	137929	1462486	239207	1468290	3167643	1456714	0.83062	1462486	0.99315	1468290	1.05551	1456714	166055.476631914	1462486	240856.869556462	1468290	3001054.46656119	1473282	130894	1479054	221248	1484857	3122267	1473282	0.83089	1479054	0.99335	1484857	1.05536	1473282	157534.691716112	1479054	222729.148839785	1484857	2958485.25621589
14	1560143	130711	1565930	125027	1571733	3046459	1560143	0.83092	1565930	0.99326	1571733	1.05619	1560143	157308.766186877	1565930	125875.40019733	1571733	2884385.38520531	1576710	138148	1582497	144328	1588301	3162600	1576710	0.83062	1582497	0.99342	1588301	1.0556	1576710	166319.135103898	1582497	145283.968512814	1588301	2996021.22015915	1593277	130618	1599065	133910	1604868	3123406	1593277	0.83132	1599065	0.99369	1604868	1.05631	1593277	157121.204830871	1599065	134760.337731083	1604868	2956902.80315438
15	1680154	130839	1685957	81057	1691760	3038045	1680154	0.83132	1685957	0.99362	1691760	1.05653	1680154	157387.047105808	1685957	81577.4642217347	1691760	2875493.36033998	1696721	137277	1702508	95071	1708296	3159209	1696721	0.83178	1702508	0.99366	1708296	1.05637	1696721	165040.03462454	1702508	95677.5959583761	1708296	2990627.3370126	1713273	130154	1719060	88466	1724863	3119826	1713273	0.8313	1719060	0.99391	1724863	1.05634	1713273	156566.823048238	1719060	89008.059079796	1724863	2953429.7669311
