WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	118904	605858	1175524	611661	3112374	600055	0.84592	605858	1.01277	611661	1.07232	600055	140561.755248723	605858	1160701.83753468	611661	2902467.54700089	616637	113240	622441	1127341	628244	2999580	616637	0.84656	622441	1.01259	628244	1.07281	616637	133764.883764884	622441	1113324.24772119	628244	2796003.02010608	633205	109219	638992	1129268	644795	2990309	633205	0.84667	638992	1.01272	644795	1.07234	633205	128998.311030272	638992	1115084.12986808	644795	2788582.91213608
7	720066	119515	725853	1170846	731656	3109007	720066	0.84661	725853	1.01175	731656	1.07275	720066	141168.89713091	725853	1157248.33209785	731656	2898165.46259613	736633	113477	742405	1127596	748208	2995723	736633	0.84715	742405	1.01303	748208	1.07255	736633	133951.484388833	742405	1113092.40595047	748208	2793084.70467577	753184	109714	758972	1127834	764775	2988234	753184	0.84686	758972	1.01282	764775	1.07212	753184	129553.881397161	758972	1113558.18408009	764775	2787219.7142111
8	840077	119375	845864	1176880	851667	3107788	840077	0.84629	845864	1.01376	851667	1.07241	840077	141056.848125347	845864	1160905.93434343	851667	2897947.61331953	856628	113592	862416	1127995	868219	2992917	856628	0.84684	862416	1.0128	868219	1.07333	856628	134136.318548958	862416	1113739.13902054	868219	2788440.6473312	873195	109823	878983	1126814	884771	2984656	873195	0.84751	878983	1.0147	884771	1.07244	873195	129583.131762457	878983	1110489.79994087	884771	2783051.73249786
9	960088	119153	965875	1174119	971678	3099268	960088	0.84683	965875	1.01316	971678	1.07257	960088	140704.745934839	965875	1158868.29326069	971678	2889571.77620109	976655	114306	982442	1124978	988230	2987200	976655	0.84626	982442	1.01352	988230	1.07292	976655	135071.9636991	982442	1109971.18951772	988230	2784177.75789434	993206	109884	999010	1127426	1004797	2984250	993206	0.84654	999010	1.01376	1004797	1.07278	993206	129803.671415409	999010	1112123.18497475	1004797	2781791.23399019
10	1080099	119406	1085902	1174308	1091689	3097623	1080099	0.84704	1085902	1.01436	1091689	1.07385	1080099	140968.549301096	1085902	1157683.66260499	1091689	2884595.61391256	1096650	114259	1102438	1124676	1108241	2986102	1096650	0.84761	1102438	1.01377	1108241	1.0729	1096650	134801.382711388	1102438	1109399.56794934	1108241	2783206.26339827	1113217	109608	1119005	1124896	1124808	2980368	1113217	0.84725	1119005	1.01341	1124808	1.07415	1113217	129369.135438182	1119005	1110010.75576519	1124808	2774629.24172602
11	1200110	118866	1205897	1172769	1211716	3091225	1200110	0.84731	1205897	1.01421	1211716	1.07336	1200110	140286.317876574	1205897	1156337.44490786	1211716	2879951.74032943	1216677	114606	1222464	1123884	1228268	2982295	1216677	0.84727	1222464	1.01384	1228268	1.07373	1216677	135265.027677128	1222464	1108541.78174071	1228268	2777509.24347834	1233260	109237	1239032	1126636	1244835	2972600	1233260	0.84689	1239032	1.01409	1244835	1.0726	1233260	128986.054859545	1239032	1110982.2599572	1244835	2771396.60637703
12	1320121	118691	1325908	1171708	1331727	3087729	1320121	0.84685	1325908	1.01428	1331727	1.0729	1320121	140155.871760052	1325908	1155211.57865678	1331727	2877928.0454842	1336688	113809	1342475	1125320	1348279	2983183	1336688	0.84652	1342475	1.01377	1348279	1.07257	1336688	134443.368142513	1342475	1110034.82052142	1348279	2781341.0779716	1353255	109342	1359043	1124651	1364846	2972015	1353255	0.8471	1359043	1.01371	1364846	1.07299	1353255	129078.030929052	1359043	1109440.5697882	1364846	2769844.08055993
13	1440132	118617	1445919	1170996	1451754	3079917	1440132	0.848	1445919	1.01411	1451754	1.07244	1440132	139878.537735849	1445919	1154703.13871276	1451754	2871878.1470292	1456730	113621	1462518	1124852	1468336	2975484	1456730	0.8467	1462518	1.01337	1468336	1.0725	1456730	134192.748316995	1462518	1110011.1509123	1468336	2774344.05594406	1473297	109627	1479100	1125220	1484888	2968728	1473297	0.84655	1479100	1.01431	1484888	1.07371	1473297	129498.55295021	1479100	1109345.26919778	1484888	2764925.3522832
14	1560143	119055	1565930	1168867	1571749	3078237	1560143	0.84689	1565930	1.01347	1571749	1.07287	1560143	140579.05985429	1565930	1153331.62303768	1571749	2869161.22176965	1576710	113601	1582497	1124609	1588301	2974073	1576710	0.84727	1582497	1.01364	1588301	1.07331	1576710	134078.865060724	1582497	1109475.75075964	1588301	2770935.7035712	1593293	109480	1599065	1124718	1604868	2960703	1593293	0.8472	1599065	1.01502	1604868	1.07271	1593293	129225.684608121	1599065	1108074.71773955	1604868	2760021.81391056
15	1680154	118842	1685957	1169152	1691760	3076867	1680154	0.84753	1685957	1.01455	1691760	1.07372	1680154	140221.585076634	1685957	1152384.80114336	1691760	2865613.94031964	1696736	113682	1702508	1124758	1708296	2972801	1696736	0.84775	1702508	1.01354	1708296	1.07382	1696736	134098.496018873	1702508	1109732.2256645	1708296	2768435.11947999	1713288	109443	1719076	1121616	1724863	2960839	1713288	0.84729	1719076	1.0131	1724863	1.0738	1713288	129168.289487661	1719076	1107112.82203139	1724863	2757346.80573664
16	1800165	118797	1805937	1169477	1811724	3070132	1800165	0.84742	1805937	1.01352	1811724	1.07259	1800165	140186.684288782	1805937	1153876.58852317	1811724	2862353.74187714	1816701	113694	1822488	1122870	1828292	2964386	1816701	0.8477	1822488	1.01355	1828292	1.07252	1816701	134120.561519405	1822488	1107858.51709338	1828292	2763944.72830344	1833268	109965	1839071	1121449	1844874	2960629	1833268	0.8471	1839071	1.01238	1844874	1.07377	1833268	129813.481289104	1839071	1107735.23775657	1844874	2757228.27048623
17	1920176	117913	1925963	1168588	1931766	3069525	1920176	0.84656	1925963	1.01333	1931766	1.073	1920176	139284.870534871	1925963	1153215.63557775	1931766	2860694.31500466	1936743	113978	1942515	1123053	1948334	2968019	1936743	0.84676	1942515	1.01334	1948334	1.07305	1936743	134604.846709812	1942515	1108268.69560069	1948334	2765965.23927124	1953310	109109	1959082	1122688	1964885	2955835	1953310	0.84711	1959082	1.01285	1964885	1.07279	1953310	128801.454356577	1959082	1108444.48832502	1964885	2755278.29304897
18	2040187	118730	2045959	1167897	2051762	3067787	2040187	0.84694	2045959	1.01368	2051762	1.07269	2040187	140187.026235625	2045959	1152135.78249546	2051762	2859900.81011289	2056738	113358	2062542	1124034	2068329	2960954	2056738	0.84732	2062542	1.01339	2068329	1.07304	2056738	133784.166548648	2062542	1109182.05231944	2068329	2759406.918661	2073321	109131	2079109	1122335	2084896	2956743	2073321	0.84679	2079109	1.01299	2084896	1.07396	2073321	128876.108598354	2079109	1107942.8227327	2084896	2753122.0902082
