time_h,ON_mean_ch1,ON_mean_ch2,ON_mean_ch3
0,0.992598549557266,0.0040700404761138,0.00234261967311415
0.0333405555555557,0.992862929715205,0.0179905089626246,0.00528364129244204
0.0666769444444446,0.993782451250755,0.0123706595911094,-0.000266765624103712
0.100009166666667,0.991468362850527,0.0467072457221924,0.0275784373555084
0.133349722222222,0.988231394792526,0.0976905221668864,0.0734189804502992
0.166686111111111,0.984346185327805,0.171504944163317,0.134562345402732
0.2000225,0.979876767000943,0.272110983748413,0.20923588311471
0.233358888888889,0.974355345882745,0.379650094918366,0.286198615486945
0.266695277777778,0.968657184701319,0.472742750845298,0.362851656210637
0.300036111111111,0.961598602640183,0.544384738408122,0.431025949857191
0.333368055555556,0.955024417860566,0.599627683473885,0.487987891564757
0.366704444444445,0.946751352689616,0.643387862075464,0.533594742457868
0.400040833333333,0.938727541269998,0.67802017245473,0.568060259278202
0.433368611111111,0.931012854206052,0.703422431666148,0.59204878131287
0.466709444444445,0.92323639085584,0.723886712779194,0.60738371064259
0.500045833333334,0.915581918877779,0.738636353789563,0.615560010244522
0.533382222222222,0.909006639798374,0.754794094796242,0.619531636428504
0.566718611111111,0.902512241539072,0.763416066603808,0.618202279471413
0.600059166666667,0.897090415388254,0.774160080499033,0.611842587773516
0.633395555555556,0.892053513983209,0.780771630891191,0.602400900075751
0.666731944444444,0.888027712616466,0.783554097407008,0.589744177277357
0.700068333333333,0.883931772081251,0.792903951279279,0.574906498924813
0.733404722222222,0.880577492740878,0.795195934713743,0.558601418320708
0.766736944444445,0.878664947718494,0.797670842061932,0.539846779626699
0.800073333333334,0.87532792941737,0.803424002928771,0.51862245858119
0.833409722222222,0.874053775762369,0.801664854654963,0.496910886976949
0.866746111111111,0.872978502338939,0.807052962128293,0.474229028254786
0.9000825,0.872273416111086,0.805897462729224,0.450637757939272
0.933418888888889,0.871275251929044,0.808004811114619,0.427762044878845
0.966755277777778,0.870730191429932,0.806469864647955,0.403499594887213
1.00009166666667,0.871029141852335,0.807205143843449,0.380681999211918
1.03342805555556,0.871395370541041,0.80963154597499,0.360422326769853
1.06676444444444,0.872159972004876,0.807746610560006,0.338613074932955
1.10010527777778,0.872263535899371,0.807808849271209,0.318167580190436
1.13344166666667,0.873713344741607,0.809892266786338,0.298030868633569
1.16676916666667,0.873895927312866,0.808333616164278,0.278174122551628
1.20010555555556,0.874581905090008,0.807812803942583,0.259778800197393
1.23344638888889,0.876380232367734,0.808945595067518,0.246355256987845
1.26678722222222,0.876939123292622,0.808779350912382,0.232540116027306
1.30012361111111,0.878128035547822,0.805719230252009,0.218072955832996
1.33346,0.879167843926179,0.80669806750216,0.206819014229254
1.36679638888889,0.880053123696086,0.805462843237374,0.195790897877217
1.40013277777778,0.882017500026002,0.805859234388331,0.187753192269807
1.43346916666667,0.882472232145527,0.805086185798628,0.179709744768817
1.46680555555556,0.884448557563084,0.804460349322632,0.171773188770532
1.50014194444444,0.885179644565132,0.805509068845445,0.166076738390202
1.53347833333333,0.887069378868029,0.806203287417994,0.15845687224367
1.56681472222222,0.888083265823144,0.80364345951898,0.154589340378979
1.60015111111111,0.890021587736414,0.801858501598863,0.151100019450095
1.6334875,0.891397998559182,0.805086388651882,0.147800841638645
1.66681944444444,0.892764283795009,0.801516600986226,0.144197255561617
1.70016027777778,0.893669802220309,0.803085504512536,0.139842431487821
1.73349666666667,0.895045862251556,0.802253699257021,0.137479687091244
1.76683722222222,0.896292752697054,0.802077008544294,0.13492954246104
1.80017361111111,0.897911491888057,0.801823748625047,0.133789346676391
1.83351,0.899204096462244,0.800343387141334,0.132516070812635
1.86684638888889,0.900566771395313,0.801111839918817,0.131816000734619
1.90018277777778,0.901582748466841,0.800457081927701,0.129817273391097
1.93351916666667,0.902732880610659,0.800735317035196,0.128840174664042
1.96685555555556,0.903886645634026,0.799853411775183,0.12920753961792
2.00019194444444,0.90463567674259,0.799446020532289,0.127991289783574
2.03352416666667,0.905612624423854,0.799461807788528,0.127655158403904
2.06686472222222,0.906125499384384,0.797555697892458,0.128611112920391
2.10020111111111,0.906710657971193,0.798652543574995,0.125513584798206
2.13354194444444,0.907414418112764,0.798718742436048,0.12804156373693
2.16687388888889,0.908000812853417,0.796265582835045,0.128152595393842
2.20021027777778,0.908199783432629,0.797955490440739,0.129493690594258
2.23354666666667,0.908905189295377,0.797071009485533,0.128609952032574
2.26688305555556,0.909706135505951,0.796244489131745,0.128475415911607
2.30021527777778,0.910601998370344,0.796672168744696,0.127352145081181
2.33355611111111,0.911551810652967,0.7961719201581,0.127695277416313
2.3668925,0.911910696894054,0.794568190190907,0.128786986462205
2.40022888888889,0.912492164585815,0.794099140815126,0.129024265555743
2.43356527777778,0.9125644907226,0.79424385751094,0.129128815997214
2.46690166666667,0.913177068933609,0.796299099120258,0.129601719729154
2.50023805555556,0.913847469483199,0.794946015501853,0.130377597363385
2.53357444444444,0.91460717639437,0.792242570376062,0.132398092807031
2.56691083333333,0.914879617553038,0.793473528447281,0.132590360668872
2.60024722222222,0.915900719246156,0.792125079143611,0.132867321193171
2.63358361111111,0.915451049784398,0.793807740846686,0.133290976670318
2.66692,0.915863009969054,0.790509271871078,0.131511841473156
2.70025638888889,0.9169210558701,0.794481475321396,0.133611185024762
2.73359277777778,0.917140214371479,0.793306670303706,0.135438230593949
2.76692916666667,0.91770302363574,0.792553984906176,0.134358541204119
2.80026555555556,0.918523540163556,0.793183402792657,0.136713971763344
2.83360194444444,0.918558542791169,0.795429473093559,0.134667587400253
2.86693833333333,0.918972192335392,0.791286181374924,0.135807364135995
2.90027472222222,0.919331051303314,0.793830418065475,0.13660557582368
2.93361111111111,0.919813907445709,0.791615228784368,0.136311867871417
2.9669475,0.920565416915075,0.793853869858373,0.13789568737148
3.00028388888889,0.920490856588416,0.793608359836799,0.139263023664725
3.03362027777778,0.920942439361351,0.792008801551008,0.136281732216804
3.06695222222222,0.921352755880846,0.792244034000121,0.135058623962883
3.10028861111111,0.92157641985674,0.789727059350283,0.135310183419035
3.13362944444444,0.921980200445824,0.79147993710372,0.140151707173318
3.16696138888889,0.922470968426296,0.792696670288414,0.141418307850721
3.20029777777778,0.922822531642337,0.792556668832158,0.140327865392581
3.23363861111111,0.923125633725645,0.793681624158562,0.138228311161858
3.26697916666667,0.923351427209965,0.793726193685733,0.140604369525068
3.30030277777778,0.923909728714838,0.792658868262061,0.144055820694424
3.33364777777778,0.924156523490488,0.791490285993023,0.142596655311789
3.36698416666667,0.924294769374441,0.792662196531378,0.145745814947365
3.40032472222222,0.924850983827592,0.79219883367574,0.145224472186803
3.4336525,0.924960978860247,0.790042388138473,0.145659232251969
3.46698888888889,0.925518802932879,0.794923352994946,0.147492175549064
3.50033388888889,0.925472087475937,0.792401529695389,0.148394484820063
3.53366611111111,0.925978593250467,0.793988300398897,0.150076859517491
3.56699805555556,0.926087465973473,0.790100515422654,0.1493375944544
3.60033888888889,0.926349629968613,0.789759297385373,0.149667505236731
3.63367083333333,0.926487488614128,0.791283717680299,0.151032596578268
3.66700722222222,0.926775209774702,0.791833722493726,0.152795828744479
3.70034361111111,0.927572648081854,0.789688200198429,0.153159587717093
3.73368444444445,0.927601260671351,0.791157344426925,0.153533909137538
3.76701638888889,0.927451326106366,0.791334727441509,0.154179070932629
3.80035722222222,0.927872987211414,0.79172211581223,0.153894786004699
3.83369361111111,0.927819917634567,0.79143318448894,0.154562677950835
3.86703,0.928577161536682,0.792969354383903,0.156810794551877
3.90036194444444,0.92856657293032,0.793171154637823,0.156333269395696
3.93370277777778,0.929015209142709,0.793871108237077,0.159066925907394
3.96703916666667,0.929259239160095,0.791714746961055,0.157333953767876
4.00037555555556,0.92957629943055,0.793710867046361,0.15772144077868
