WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	39707	605858	2418161	611661	4361977	600055	0.86608	605858	1.07545	611661	1.2095	600055	45846.8039903935	605858	2248510.85592078	611661	3606429.92972303	616637	124407	622409	2628887	628213	4959303	616637	0.86754	622409	1.07475	628213	1.20968	616637	143402.033335639	622409	2446045.12677367	628213	4099681.7340123	633189	125827	638977	2840713	644780	5418465	633189	0.86658	638977	1.07556	644780	1.20948	633189	145199.519951995	638977	2641147.86715757	644780	4479995.53527136	649756	93485	655544	2588510	661347	4914866	649756	0.86666	655544	1.0756	661347	1.20962	649756	107868.137447211	655544	2406573.07549275	661347	4063148.75746102
7	720066	40151	725869	2413893	731672	4353404	720066	0.86673	725869	1.0754	731672	1.20907	720066	46324.6916571481	725869	2244646.64310954	731672	3600621.96564301	736648	123426	742420	2620240	748208	4956230	736648	0.86661	742420	1.07512	748208	1.20979	736648	142423.927718351	742420	2437160.50301362	748208	4096768.86071136	753184	126830	758972	2838214	764775	5416594	753184	0.86686	758972	1.0757	764775	1.20956	753184	146309.669381446	758972	2638480.98912336	764775	4478152.3859916	769752	92718	775539	2595063	781358	4912016	769752	0.86613	775539	1.07521	781358	1.20868	769752	107048.59547643	775539	2413540.6106714	781358	4063950.75619684
8	840077	39848	845864	2415820	851683	4357595	840077	0.86717	845864	1.07546	851683	1.2094	840077	45951.774161929	845864	2246313.20551206	851683	3603104.84537787	856659	123128	862431	2615888	868219	4953988	856659	0.86643	862431	1.07598	868219	1.21043	856659	142109.576076544	862431	2431167.86557371	868219	4092750.51014929	873195	126181	878983	2835180	884786	5407839	873195	0.86699	878983	1.07508	884786	1.20869	873195	145539.164234882	878983	2637180.48889385	884786	4474132.32507922	889763	92801	895550	2592485	901369	4903585	889763	0.8663	895550	1.07556	901369	1.20917	889763	107123.398360845	895550	2410358.3249656	901369	4055331.34298734
9	960088	40002	965875	2416279	971694	4349809	960088	0.86749	965875	1.07596	971694	1.21072	960088	46112.3471163933	965875	2245695.93665192	971694	3592745.63895864	976655	122864	982427	2614349	988230	4950977	976655	0.86757	982427	1.07598	988230	1.20935	976655	141618.543748631	982427	2429737.54158999	988230	4093915.73986026	993222	126508	999010	2836372	1004813	5401344	993222	0.86701	999010	1.07656	1004813	1.20954	993222	145912.965248382	999010	2634662.25756112	1004813	4465618.33424277	1009789	92645	1015577	2586494	1021380	4898649	1009789	0.86709	1015577	1.07552	1021380	1.20908	1009789	106845.886816824	1015577	2404877.64058316	1021380	4051550.76587157
10	1080099	40000	1085902	2414171	1091705	4344131	1080099	0.86677	1085902	1.07624	1091705	1.20947	1080099	46148.34385131	1085902	2243153.01419758	1091705	3591764.1611615	1096681	123622	1102453	2614747	1108257	4952308	1096681	0.86743	1102453	1.07575	1108257	1.20979	1096681	142515.246187012	1102453	2430627.00441552	1108257	4093526.97575612	1113202	126258	1119005	2835635	1124808	5396738	1113202	0.86698	1119005	1.07541	1124808	1.20998	1113202	145629.656970172	1119005	2636794.3389033	1124808	4460187.77169871	1129769	93382	1135572	2590283	1141391	4897028	1129769	0.86706	1135572	1.07573	1141391	1.21017	1129769	107699.582497174	1135572	2407930.42863916	1141391	4046562.05326524
11	1200110	40009	1205897	2413276	1211716	4340400	1200110	0.86724	1205897	1.07589	1211716	1.20927	1200110	46133.7115446704	1205897	2243050.86951268	1211716	3589272.86710164	1216677	123305	1222464	2608142	1228252	4947677	1216677	0.86682	1222464	1.07625	1228252	1.20966	1216677	142249.832721903	1222464	2423360.74332172	1228252	4090138.55132847	1233228	126509	1239016	2838461	1244819	5386287	1233228	0.86744	1239016	1.07628	1244819	1.2103	1233228	145841.78732823	1239016	2637288.6237782	1244819	4450373.46112534	1249811	93323	1255599	2586290	1261402	4891330	1249811	0.86722	1255599	1.07593	1261402	1.20967	1249811	107611.678697447	1255599	2403771.62083035	1261402	4043524.26694884
12	1320121	39823	1325908	2412656	1331727	4332587	1320121	0.86711	1325908	1.07645	1331727	1.21002	1320121	45926.1224066151	1325908	2241308.00315853	1331727	3580591.22989703	1336703	123426	1342507	2607058	1348325	4951724	1336703	0.8669	1342507	1.07561	1348325	1.20951	1336703	142376.28330834	1342507	2423794.86988778	1348325	4093991.78179593	1353286	126557	1359074	2831223	1364877	5382369	1353286	0.86729	1359074	1.0761	1364877	1.20949	1353286	145922.355844066	1359074	2631003.62419849	1364877	4450114.51107492	1369838	93164	1375626	2585388	1381429	4886290	1369838	0.86783	1375626	1.07569	1381429	1.21015	1369838	107352.822557413	1375626	2403469.40103561	1381429	4037755.65012602
13	1440132	39521	1445904	2407326	1451707	4325265	1440132	0.86719	1445904	1.07618	1451707	1.20908	1440132	45573.6343823153	1445904	2236917.61601219	1451707	3577319.11866874	1456683	123299	1462471	2609161	1468274	4956672	1456683	0.86741	1462471	1.0769	1468274	1.21012	1456683	142146.159255715	1462471	2422844.27523447	1468274	4096016.92394143	1473250	126308	1479038	2835091	1484841	5377932	1473250	0.86742	1479038	1.0769	1484841	1.2104	1473250	145613.428327684	1479038	2632640.91373387	1484841	4443103.1064111	1489818	92711	1495590	2586661	1501393	4885793	1489818	0.8676	1495590	1.07696	1501393	1.21077	1489818	106859.151682803	1495590	2401817.15198336	1501393	4035277.55064959
14	1560143	39716	1565930	2412029	1571749	4322080	1560143	0.86804	1565930	1.07625	1571749	1.21042	1560143	45753.6519054422	1565930	2241141.92799071	1571749	3570727.5160688	1576710	122290	1582497	2603042	1588301	4956170	1576710	0.86765	1582497	1.07701	1588301	1.21077	1576710	140943.929003631	1582497	2416915.3489754	1588301	4093403.37140828	1593277	125425	1599049	2838940	1604852	5378946	1593277	0.86795	1599049	1.07706	1604852	1.21089	1593277	144507.172072124	1599049	2635823.44530481	1604852	4442142.55630156	1609829	92559	1615616	2587156	1621435	4881558	1609829	0.86748	1615616	1.07674	1621435	1.211	1609829	106698.713515009	1615616	2402767.61335141	1621435	4031014.03798514
15	1680154	39366	1685941	2411157	1691744	4317492	1680154	0.86847	1685941	1.07737	1691744	1.21092	1680154	45327.9906041659	1685941	2238002.72886752	1691744	3565464.27509662	1696721	122673	1702508	2608464	1708296	4957001	1696721	0.86843	1702508	1.0769	1708296	1.2109	1696721	141258.362792626	1702508	2422197.04707958	1708296	4093650.17755389	1713288	127015	1719076	2827100	1724863	5364281	1713288	0.86767	1719076	1.07701	1724863	1.21053	1713288	146386.298938537	1719076	2624952.41455511	1724863	4431349.07850281	1729840	92631	1735612	2585822	1741415	4874674	1729840	0.86798	1735612	1.07656	1741415	1.2103	1729840	106720.200926289	1735612	2401930.2221892	1741415	4027657.60555234
