WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
67	7920726	4297	7926514	18026	7932333	669558	7920726	0.87134	7926514	1.08164	7932333	1.21434	7920726	4931.4848394427	7926514	16665.4339706372	7932333	551376.056129255	7937309	100982	7943112	2274697	7948931	2208102	7937309	0.87213	7943112	1.08087	7948931	1.21446	7937309	115787.783931295	7943112	2104505.6297242	7948931	1818175.97944766	7953907	32457	7959679	208103	7965483	2046962	7953907	0.87134	7959679	1.08113	7965483	1.21456	7953907	37249.5237220832	7959679	192486.564982935	7965483	1685352.7203267	7970459	85749	7976231	2427609	7982034	4574520	7970459	0.87136	7976231	1.08183	7982034	1.21455	7970459	98408.23540213	7976231	2243983.80521893	7982034	3766432.01185624
68	8040737	4432	8046525	18056	8052328	668308	8040737	0.87092	8046525	1.08105	8052328	1.214	8040737	5088.87153814357	8046525	16702.2801905555	8052328	550500.823723229	8057304	101271	8063076	2273673	8068880	2154328	8057304	0.87118	8063076	1.0811	8068880	1.21444	8057304	116245.781583599	8063076	2103110.72056239	8068880	1773927.07750074	8073856	31564	8079644	219058	8085447	2060609	8073856	0.87187	8079644	1.08142	8085447	1.21404	8073856	36202.6448897198	8079644	202565.145826783	8085447	1697315.57444565	8090423	86597	8096195	2422721	8101999	4570045	8090423	0.87156	8096195	1.08112	8101999	1.21491	8090423	99358.6213226858	8096195	2240936.25129495	8101999	3761632.54891309
69	8160748	4550	8166520	18214	8172323	667703	8160748	0.87152	8166520	1.08164	8172323	1.21408	8160748	5220.76372315036	8166520	16839.2441107947	8172323	549966.22957301	8177284	100737	8183072	2277371	8188875	2106393	8177284	0.87164	8183072	1.08107	8188875	1.21462	8177284	115571.795695471	8183072	2106589.76754512	8188875	1734199.17340403	8193851	30217	8199639	230698	8205442	2082846	8193851	0.8717	8199639	1.08195	8205442	1.21584	8193851	34664.4487782494	8199639	213224.27099219	8205442	1713092.183182	8210419	86655	8216191	2424926	8221994	4570677	8210419	0.87253	8216191	1.08186	8221994	1.2159	8210419	99314.6367460145	8216191	2241441.59133344	8221994	3759089.56328646
70	8280759	4374	8286547	18169	8292350	666831	8280759	0.87144	8286547	1.08164	8292350	1.21563	8280759	5019.27843569265	8286547	16797.6406197996	8292350	548547.666641988	8297326	99910	8303114	2281368	8308902	2063936	8297326	0.87174	8303114	1.08192	8308902	1.2147	8297326	114609.860738294	8303114	2108629.10381544	8308902	1699132.29604017	8313878	29306	8319666	240619	8325469	2110787	8313878	0.87177	8319666	1.08168	8325469	1.21587	8313878	33616.6649460293	8319666	222449.338066711	8325469	1736030.16769885	8330430	86503	8336217	2428524	8342052	4562602	8330430	0.8715	8336217	1.08198	8342052	1.21526	8330430	99257.6018359151	8336217	2244518.38296457	8342052	3754424.56758225
71	8400770	4242	8406558	18309	8412345	666981	8400770	0.87169	8406558	1.08146	8412345	1.21527	8400770	4866.40892978008	8406558	16929.8910731789	8412345	548833.592534992	8417322	100081	8423109	2275862	8428913	2026747	8417322	0.87166	8423109	1.08124	8428913	1.21531	8417322	114816.556914393	8423109	2104862.93514853	8428913	1667679.02839605	8433874	28379	8439677	250839	8445480	2136418	8433874	0.87162	8439677	1.08091	8445480	1.21513	8433874	32558.9132879007	8439677	232062.798937932	8445480	1758180.60619028	8450456	86775	8456244	2422100	8462047	4556996	8450456	0.87136	8456244	1.08208	8462047	1.21467	8450456	99585.705104664	8456244	2238374.24220021	8462047	3751632.95380638
72	8520781	4321	8526569	18192	8532372	666311	8520781	0.87146	8526569	1.08205	8532372	1.21495	8520781	4958.34576457898	8526569	16812.5317684026	8532372	548426.684225688	8537348	99567	8543121	2277807	8548924	1988940	8537348	0.87201	8543121	1.08162	8548924	1.21544	8537348	114181.030034059	8543121	2105921.67304599	8548924	1636395.05035214	8553900	27607	8559688	258749	8565491	2173964	8553900	0.87151	8559688	1.08243	8565491	1.21547	8553900	31677.2039334029	8559688	239044.557153811	8565491	1788578.90363399	8570467	86996	8576255	2419618	8582058	4558099	8570467	0.87141	8576255	1.08222	8582058	1.2154	8570467	99833.6030112117	8576255	2235791.24392453	8582058	3750287.14826395
73	8640792	4326	8646580	17988	8652399	667812	8640792	0.87205	8646580	1.08192	8652399	1.21515	8640792	4960.72472908664	8646580	16625.9982253771	8652399	549571.657820022	8657375	99379	8663147	2272828	8668950	1952614	8657375	0.87179	8663147	1.0821	8668950	1.21591	8657375	113994.195849918	8663147	2100386.28592552	8668950	1605886.94886957	8673942	26857	8679730	267957	8685533	2211828	8673942	0.87184	8679730	1.08178	8685533	1.21541	8673942	30804.9642136172	8679730	247700.086893823	8685533	1819820.47210406	8690494	86893	8696297	2417163	8702100	4555548	8690494	0.87158	8696297	1.08191	8702100	1.21504	8690494	99695.9544734849	8696297	2234162.73072622	8702100	3749298.78851725
74	8760803	4529	8766575	18117	8772394	667446	8760803	0.87215	8766575	1.08189	8772394	1.215	8760803	5192.91406294789	8766575	16745.695033691	8772394	549338.271604938	8777371	99446	8783158	2277106	8788961	1919840	8777371	0.87153	8783158	1.08208	8788961	1.21599	8777371	114105.079572705	8783158	2104378.60416975	8788961	1578828.77326294	8793938	26519	8799725	277081	8805529	2257515	8793938	0.87223	8799725	1.08215	8805529	1.21529	8793938	30403.6779289866	8799725	256046.758767269	8805529	1857593.66077233	8810505	87148	8816293	2413852	8822096	4558316	8810505	0.87215	8816293	1.08195	8822096	1.21546	8810505	99923.1783523476	8816293	2231019.91774112	8822096	3750280.55221891
75	8880814	4519	8886602	18141	8892405	668268	8880814	0.87182	8886602	1.08186	8892405	1.21426	8880814	5183.40941937556	8886602	16768.3434085741	8892405	550350.007411922	8897382	99108	8903169	2272738	8908972	1887708	8897382	0.87187	8903169	1.08133	8908972	1.21455	8897382	113672.909952172	8903169	2101798.71084683	8908972	1554244.78201803	8913949	26286	8919721	284468	8925524	2303282	8913949	0.87138	8919721	1.08156	8925524	1.21526	8913949	30165.9436755491	8919721	263016.383742002	8925524	1895299.77124237	8930500	87077	8936288	2419719	8942091	4551763	8930500	0.87278	8936288	1.08233	8942091	1.2159	8930500	99769.7014138729	8936288	2235657.33186736	8942091	3743534.0077309
76	9000825	4364	9006613	18202	9012416	666615	9000825	0.87165	9006613	1.0817	9012416	1.2153	9000825	5006.59668444903	9006613	16827.2164186004	9012416	548518.884226117	9017377	98133	9023165	2273655	9028968	1857479	9017377	0.87202	9023165	1.08181	9028968	1.21514	9017377	112535.262952685	9023165	2101713.79447408	9028968	1528613.16391527	9033944	25471	9039716	290618	9045535	2351091	9033944	0.87188	9039716	1.08252	9045535	1.21462	9033944	29213.8826444006	9039716	268464.323984776	9045535	1935659.71250268	9050511	86560	9056299	2419799	9062102	4551670	9050511	0.87202	9056299	1.08166	9062102	1.21563	9050511	99263.7783537075	9056299	2237116.09932881	9062102	3744288.96950552
77	9120836	4385	9126624	17895	9132427	664425	9120836	0.87173	9126624	1.08149	9132427	1.21561	9120836	5030.22724926296	9126624	16546.6162424063	9132427	546577.438487673	9137404	97980	9143176	2272458	9148979	1828314	9137404	0.87201	9143176	1.08161	9148979	1.21492	9137404	112361.096776413	9143176	2100995.73783526	9148979	1504884.27221545	9153971	25168	9159743	295836	9165546	2404290	9153971	0.8715	9159743	1.08202	9165546	1.21531	9153971	28878.9443488239	9159743	273410.84268313	9165546	1978334.74586731	9170522	87614	9176310	2416101	9182113	4551708	9170522	0.87239	9176310	1.08237	9182113	1.21623	9170522	100429.853620514	9176310	2232232.04634275	9182113	3742473.05197208
78	9240847	4496	9246635	17822	9252438	665824	9240847	0.87188	9246635	1.08226	9252438	1.21534	9240847	5156.67293664266	9246635	16467.3923086874	9252438	547849.984366515	9257399	97985	9263187	2268664	9268990	1809033	9257399	0.87164	9263187	1.08235	9268990	1.2166	9257399	112414.528933964	9263187	2096053.95666836	9268990	1486957.91550222	9273966	25007	9279754	301991	9285557	2460502	9273966	0.87166	9279754	1.08156	9285557	1.21575	9273966	28688.9383475208	9279754	279217.981434225	9285557	2023855.23339502	9290533	87205	9296321	2415571	9302124	4543647	9290533	0.87244	9296321	1.08215	9302124	1.21506	9290533	99955.2977855211	9296321	2232196.09111491	9302124	3739442.49666683
79	9360858	4370	9366646	17897	9372449	666025	9360858	0.87246	9366646	1.08292	9372449	1.2157	9360858	5008.82561951264	9366646	16526.6132308942	9372449	547853.08875545	9377426	97747	9383198	2268701	9389001	1782019	9377426	0.87236	9383198	1.08247	9389001	1.21582	9377426	112048.924755835	9383198	2095855.77429398	9389001	1465693.11246731	9393993	24862	9399780	305287	9405584	2516528	9393993	0.8722	9399780	1.08218	9405584	1.21599	9393993	28504.9300619124	9399780	282103.716572104	9405584	2069530.17705738	9410560	87131	9416348	2416676	9422135	4548810	9410560	0.87202	9416348	1.08242	9422135	1.21679	9410560	99918.579849086	9416348	2232660.15040373	9422135	3738368.98725335
80	9480869	4497	9486657	18028	9492460	667907	9480869	0.87236	9486657	1.08282	9492460	1.21807	9480869	5154.98188821129	9486657	16649.1198906559	9492460	548332.197656949	9497421	97689	9503209	2265770	9508996	1760288	9497421	0.87274	9503209	1.08274	9508996	1.21567	9497421	111933.680133831	9503209	2092626.11522619	9508996	1447998.22320202	9513973	24721	9519760	309799	9525563	2570535	9513973	0.87308	9519760	1.08188	9525563	1.21565	9513973	28314.7019746186	9519760	286352.460531667	9525563	2114535.43371859	9530524	87112	9536312	2413638	9542099	4544115	9530524	0.87229	9536312	1.08235	9542099	1.2154	9530524	99865.8702954293	9536312	2229997.69021111	9542099	3738781.47112062
81	9600880	4551	9606668	17916	9612471	664762	9600880	0.87166	9606668	1.0827	9612471	1.21567	9600880	5221.07243650047	9606668	16547.5200886672	9612471	546827.675273718	9617448	96792	9623235	2267223	9629038	1741967	9617448	0.87201	9623235	1.08196	9629038	1.21569	9617448	110998.727078818	9623235	2095477.65166919	9629038	1432903.94755242	9634015	24208	9639787	311241	9645590	2629736	9634015	0.87225	9639787	1.08221	9645590	1.21576	9634015	27753.5110346804	9639787	287597.601204942	9645590	2163038.75764954	9650551	87052	9656338	2414730	9662142	4538626	9650551	0.87178	9656338	1.08216	9662142	1.21492	9650551	99855.4681226915	9656338	2231398.31448215	9662142	3735740.62489711
82	9720891	4418	9726679	17993	9732482	664165	9720891	0.87212	9726679	1.08291	9732482	1.21604	9720891	5065.81663073889	9726679	16615.4158702016	9732482	546170.356238282	9737459	96915	9743246	2270403	9749034	1720791	9737459	0.87179	9743246	1.08239	9749034	1.21477	9737459	111167.827114328	9743246	2097583.12622992	9749034	1416557.04372021	9754026	24192	9759798	313545	9765601	2684499	9754026	0.87237	9759798	1.08251	9765601	1.2155	9754026	27731.3525224389	9759798	289646.285022771	9765601	2208555.32702592	9770577	87826	9776365	2415612	9782168	4539518	9770577	0.87269	9776365	1.08362	9782168	1.21548	9770577	100638.256425535	9776365	2229205.81015485	9782168	3734753.34847139
83	9840902	4564	9846690	18092	9852493	665754	9840902	0.87198	9846690	1.08213	9852493	1.21564	9840902	5234.06500149086	9846690	16718.8785081275	9852493	547657.201145076	9857470	97110	9863242	2274546	9869045	1706641	9857470	0.87245	9863242	1.08229	9869045	1.21573	9857470	111307.238237148	9863242	2101604.93028671	9869045	1403799.36334548	9874021	23954	9879809	313394	9885612	2743850	9874021	0.87201	9879809	1.08238	9885612	1.21565	9874021	27469.8684648112	9879809	289541.565808681	9885612	2257105.25233414	9890588	87490	9896376	2411402	9902179	4537138	9890588	0.87251	9896376	1.08271	9902179	1.21575	9890588	100273.922361921	9896376	2227191.02991567	9902179	3731966.27596134
84	9960913	4392	9966685	17972	9972504	664774	9960913	0.8717	9966685	1.0818	9972504	1.21632	9960913	5038.4306527475	9966685	16613.0523202071	9972504	546545.317021836	9977481	96617	9983253	2268055	9989056	1691699	9977481	0.87241	9983253	1.08199	9989056	1.2158	9977481	110747.240403022	9983253	2096188.50451483	9989056	1391428.6889291	9994032	23798	9999820	310753	10005623	2792135	9994032	0.87182	9999820	1.08218	10005623	1.21563	9994032	27296.9190888027	9999820	287154.632316251	10005623	2296862.53218496	10010584	87743	10016371	2408681	10022175	4539879	10010584	0.87267	10016371	1.08151	10022175	1.21635	10010584	100545.452461984	10016371	2227146.30470361	10022175	3732378.83832778
85	10080924	4405	10086712	17862	10092515	664533	10080924	0.87236	10086712	1.08272	10092515	1.21476	10080924	5049.52084002018	10086712	16497.3400325107	10092515	547048.799762916	10097492	96755	10103310	2267654	10109114	1672349	10097492	0.87229	10103310	1.08225	10109114	1.2161	10097492	110920.680049066	10103310	2095314.39131439	10109114	1375173.9166187	10114090	23886	10119862	309169	10125665	2839681	10114090	0.87248	10119862	1.08279	10125665	1.21662	10114090	27377.1318540253	10119862	285529.973494399	10125665	2334073.90968421	10130657	87655	10136429	2411365	10142233	4535002	10130657	0.87229	10136429	1.08219	10142233	1.21634	10130657	100488.369693565	10136429	2228227.02113307	10142233	3728399.95396024
86	10200935	4488	10206723	18024	10212526	665754	10200935	0.87219	10206723	1.08271	10212526	1.21715	10200935	5145.66780174045	10206723	16647.1169565258	10212526	546977.775952019	10217503	96834	10223275	2265450	10229078	1659546	10217503	0.87247	10223275	1.08293	10229078	1.21672	10217503	110988.343438743	10223275	2091963.46947633	10229078	1363950.62134263	10234054	23643	10239826	304110	10245645	2882241	10234054	0.87215	10239826	1.08305	10245645	1.21503	10234054	27108.8688872327	10239826	280790.360555838	10245645	2372156.24305573	10250606	87683	10256394	2405768	10262181	4526573	10250606	0.87222	10256394	1.08175	10262181	1.21483	10250606	100528.536378437	10256394	2223959.32516755	10262181	3726095.83233868
87	10320946	4503	10326734	17959	10332537	663698	10320946	0.8733	10326734	1.08311	10332537	1.21538	10320946	5156.30367571281	10326734	16580.9566895329	10332537	546082.70664319	10337529	96399	10343301	2265680	10349104	1644853	10337529	0.87312	10343301	1.08242	10349104	1.21653	10337529	110407.504123145	10343301	2093161.61933445	10349104	1352085.8507394	10354081	23394	10359868	301248	10365672	2922984	10354081	0.87302	10359868	1.08321	10365672	1.21669	10354081	26796.6369613525	10359868	278106.738305592	10365672	2402406.52918985	10370633	88037	10376420	2404625	10382223	4534560	10370633	0.87256	10376420	1.08242	10382223	1.21697	10370633	100895.067387916	10376420	2221526.76410266	10382223	3726106.64190572
88	10440957	4520	10446745	18071	10452548	663720	10440957	0.87246	10446745	1.08225	10452548	1.21603	10440957	5180.75327235633	10446745	16697.6206976207	10452548	545808.902740886	10457525	96149	10463312	2265238	10469115	1630774	10457525	0.87262	10463312	1.08152	10469115	1.21664	10457525	110184.27265018	10463312	2094494.78511724	10469115	1340391.5702262	10474092	23375	10479880	297168	10485683	2977275	10474092	0.87178	10479880	1.08256	10485683	1.21654	10474092	26812.9573975085	10479880	274504.877327816	10485683	2447330.13300015	10490659	87604	10496447	2408917	10502250	4539263	10490659	0.8727	10496447	1.08303	10502250	1.21748	10490659	100382.720293343	10496447	2224238.47908184	10502250	3728408.68022473
89	10560968	4565	10566756	18132	10572559	665089	10560968	0.87327	10566756	1.08346	10572559	1.21773	10560968	5227.47832858108	10566756	16735.2740294981	10572559	546171.154525223	10577536	96108	10583323	2264150	10589126	1618445	10577536	0.87364	10583323	1.08341	10589126	1.21713	10577536	110008.699235383	10583323	2089836.71924756	10589126	1329722.3796965	10594103	23536	10599891	296362	10605694	3040756	10594103	0.87347	10599891	1.08326	10605694	1.2171	10594103	26945.4016737839	10599891	273583.442571497	10605694	2498361.67940186	10610655	87964	10616427	2409777	10622245	4534184	10610655	0.87336	10616427	1.08359	10622245	1.2167	10610655	100719.062013374	10616427	2223882.64934154	10622245	3726624.47604175
90	10680979	4492	10686767	18090	10692586	665075	10680979	0.87335	10686767	1.08379	10692586	1.21679	10680979	5143.41329363943	10686767	16691.425460652	10692586	546581.57940154	10697547	95233	10703334	2265208	10709138	1606402	10697547	0.87349	10703334	1.08308	10709138	1.21775	10697547	109025.861772888	10703334	2091450.30837981	10709138	1319155.82016013	10714114	23250	10719902	299258	10725705	3119020	10714114	0.8733	10719902	1.08323	10725705	1.21654	10714114	26623.1535554792	10719902	276264.50522973	10725705	2563845.00304141	10730681	88102	10736469	2408887	10742272	4531028	10730681	0.87304	10736469	1.0832	10742272	1.21572	10730681	100914.047466325	10736469	2223861.70605613	10742272	3727032.54038759
91	10800990	4419	10806762	18087	10812566	664849	10800990	0.87222	10806762	1.08259	10812566	1.21663	10800990	5066.38233473206	10806762	16707.1559870311	10812566	546467.701766355	10817542	95398	10823330	2260861	10829133	1593883	10817542	0.87262	10823330	1.083	10829133	1.21592	10817542	109323.646031491	10823330	2087590.95106187	10829133	1310845.28587407	10834109	23528	10839897	300727	10845700	3195586	10834109	0.87255	10839897	1.08326	10845700	1.21611	10834109	26964.6438599507	10839897	277612.946107121	10845700	2627711.30900988	10850677	88406	10856464	2407578	10862267	4536382	10850677	0.87262	10856464	1.08333	10862267	1.21701	10850677	101310.994476404	10856464	2222386.53042009	10862267	3727481.28610283
92	10921001	4413	10926789	18166	10932592	664298	10921001	0.87282	10926789	1.08309	10932592	1.2164	10921001	5056.02529731216	10926789	16772.3827198109	10932592	546118.05327195	10937553	95237	10943372	2260413	10949191	1581901	10937553	0.8728	10943372	1.08262	10949191	1.21622	10937553	109116.636113657	10943372	2087909.88527831	10949191	1300670.10902633	10954167	23471	10959955	300229	10965758	3262696	10954167	0.87351	10959955	1.08275	10965758	1.21656	10954167	26869.7553548328	10959955	277283.768182868	10965758	2681903.07095417	10970719	87773	10976506	2408020	10982310	4535823	10970719	0.87284	10976506	1.08243	10982310	1.21705	10970719	100560.240135649	10976506	2224642.70206849	10982310	3726899.47002999
93	11041012	4495	11046800	17895	11052619	663186	11041012	0.87265	11046800	1.08234	11052619	1.21727	11041012	5150.97690941385	11046800	16533.6215976495	11052619	544814.215416465	11057595	95251	11063367	2261016	11069171	1573284	11057595	0.87279	11063367	1.08315	11069171	1.21672	11057595	109133.926832342	11063367	2087444.95222268	11069171	1293053.45519101	11074163	23581	11079950	301541	11085753	3342899	11074163	0.87305	11079950	1.08374	11085753	1.21746	11074163	27009.9077945135	11079950	278241.091036596	11085753	2745797.80855223	11090730	88187	11096517	2405474	11102321	4533150	11090730	0.87305	11096517	1.08281	11102321	1.21647	11090730	101010.251417445	11096517	2221510.6990146	11102321	3726479.07469975
94	11161024	4516	11166811	18127	11172614	662934	11161024	0.87279	11166811	1.08241	11172614	1.21597	11161024	5174.21143688631	11166811	16746.8888868359	11172614	545189.437239406	11177591	94432	11183363	2262520	11189166	1560930	11177591	0.87268	11183363	1.0832	11189166	1.21624	11177591	108209.194664711	11183363	2088737.07533235	11189166	1283406.23561139	11194142	23355	11199930	303025	11205733	3418436	11194142	0.87293	11199930	1.08306	11205733	1.21686	11194142	26754.7226008958	11199930	279785.976769523	11205733	2809227.02693819	11210694	88081	11216497	2407023	11222300	4535266	11210694	0.87265	11216497	1.08298	11222300	1.21598	11210694	100935.082793789	11216497	2222592.29163974	11222300	3729720.88356716
95	11281035	4505	11286807	17977	11292625	663225	11281035	0.87283	11286807	1.0823	11292625	1.2167	11281035	5161.37163021436	11286807	16609.9972281253	11292625	545101.504068382	11297602	94937	11303374	2259518	11309177	1552677	11297602	0.87276	11303374	1.08314	11309177	1.21687	11297602	108777.899995417	11303374	2086081.20833872	11309177	1275959.63414334	11314153	23376	11319941	302123	11325744	3483317	11314153	0.87223	11319941	1.08309	11325744	1.21582	11314153	26800.2705708357	11319941	278945.424664617	11325744	2864993.99582175	11330721	87721	11336493	2405402	11342311	4536280	11330721	0.87243	11336493	1.08327	11342311	1.21696	11330721	100547.894960054	11336493	2220500.89082131	11342311	3727550.61793321
96	11401046	4389	11406833	17992	11412636	662374	11401046	0.8721	11406833	1.08235	11412636	1.21616	11401046	5032.67973856209	11406833	16623.0886496974	11412636	544643.796868833	11417613	94818	11423400	2262464	11429204	1544050	11417613	0.87224	11423400	1.08353	11429204	1.21661	11417613	108706.319361644	11423400	2088049.24644449	11429204	1269141.30247162	11434180	23626	11439952	303660	11445771	3551895	11434180	0.87345	11439952	1.08342	11445771	1.21642	11434180	27049.0583319022	11439952	280279.116132248	11445771	2919957.74485786	11450747	88023	11456535	2409780	11462338	4535208	11450747	0.87267	11456535	1.08306	11462338	1.21595	11450747	100866.306851387	11456535	2224973.68566838	11462338	3729765.20416136
97	11521057	4555	11526844	18141	11532647	661818	11521057	0.87268	11526844	1.0825	11532647	1.2168	11521057	5219.55355915112	11526844	16758.4295612009	11532647	543900.394477318	11537624	94340	11543396	2260266	11549199	1537127	11537624	0.87205	11543396	1.08377	11549199	1.21682	11537624	108181.870305602	11543396	2085558.74401395	11549199	1263232.85284594	11554175	23571	11559947	303607	11565751	3626556	11554175	0.87301	11559947	1.08256	11565751	1.21733	11554175	26999.6907251922	11559947	280452.81554833	11565751	2979106.73358908	11570743	88684	11576530	2404831	11582333	4536559	11570743	0.87276	11576530	1.08209	11582333	1.2165	11570743	101613.272835602	11576530	2222394.62521602	11582333	3729189.47801069
98	11641068	4578	11646855	18236	11652658	661301	11641068	0.87261	11646855	1.08202	11652658	1.21624	11641068	5246.32997559047	11646855	16853.6625940371	11652658	543725.744918766	11657635	94348	11663407	2259733	11669226	1527571	11657635	0.87241	11663407	1.08291	11669226	1.2159	11657635	108146.39905549	11663407	2086722.81168334	11669226	1256329.46788387	11674186	23204	11679958	303961	11685762	3687033	11674186	0.87183	11679958	1.0821	11685762	1.21631	11674186	26615.2805019327	11679958	280899.177525183	11685762	3031326.71769532	11690738	87826	11696510	2397526	11702313	4527292	11690738	0.87219	11696510	1.08295	11702313	1.21603	11690738	100695.949277107	11696510	2213884.29752066	11702313	3723010.12310552
99	11761079	4444	11766866	18020	11772669	660553	11761079	0.8732	11766866	1.08175	11772669	1.21569	11761079	5089.32661475034	11766866	16658.1927432401	11772669	543356.447778628	11777646	94529	11783418	2266024	11789221	1521232	11777646	0.87269	11783418	1.08322	11789221	1.21618	11777646	108319.105295122	11783418	2091933.30994627	11789221	1250828.00243385	11794197	23317	11799985	303283	11805773	3747615	11794197	0.87307	11799985	1.08262	11805773	1.217	11794197	26706.9078080795	11799985	280137.998559051	11805773	3079387.83894823	11810749	88093	11816552	2401282	11822355	4518308	11810749	0.87247	11816552	1.08226	11822355	1.21697	11810749	100969.660847937	11816552	2218766.28536581	11822355	3712752.16315932
100	11881090	4593	11886877	18015	11892680	660515	11881090	0.87251	11886877	1.08265	11892680	1.21621	11881090	5264.12304730032	11886877	16639.7265967764	11892680	543092.8869192	11897657	94611	11903444	2261506	11909232	1512416	11897657	0.87263	11903444	1.08268	11909232	1.21701	11897657	108420.521870667	11903444	2088803.70931392	11909232	1242730.95537424	11914208	23823	11919980	304861	11925784	3810918	11914208	0.8732	11919980	1.08273	11925784	1.21629	11914208	27282.4095281722	11919980	281566.964986654	11925784	3133231.38396271	11930760	87606	11936548	2400404	11942351	4516028	11930760	0.87253	11936548	1.08272	11942351	1.21625	11930760	100404.570616483	11936548	2217012.70873356	11942351	3713075.43679342
101	12001101	4441	12006888	18163	12012691	662082	12001101	0.87213	12006888	1.0827	12012691	1.21618	12001101	5092.13076032243	12006888	16775.6534589452	12012691	544394.744199049	12017668	94114	12023455	2258390	12029259	1505283	12017668	0.87294	12023455	1.08326	12029259	1.21682	12017668	107812.678992829	12023455	2084808.81782767	12029259	1237063.00027942	12034235	23586	12040007	303675	12045826	3865739	12034235	0.87291	12040007	1.08308	12045826	1.21791	12034235	27019.967694264	12040007	280380.950622299	12045826	3174076.08115542	12050802	87888	12056590	2403342	12062393	4518722	12050802	0.87344	12056590	1.08369	12062393	1.21785	12050802	100622.824693167	12056590	2217739.39041608	12062393	3710409.32791395
102	12121112	4489	12126899	18321	12132702	663854	12121112	0.87276	12126899	1.0838	12132702	1.21785	12121112	5143.45295384756	12126899	16904.4104078243	12132702	545103.25573757	12137679	93560	12143451	2257762	12149270	1498648	12137679	0.87279	12143451	1.08373	12149270	1.21635	12137679	107196.461920966	12143451	2083325.18247165	12149270	1232086.15941135	12154246	23961	12160034	302252	12165837	3912624	12154246	0.8733	12160034	1.08281	12165837	1.2175	12154246	27437.3067674339	12160034	279136.690647482	12165837	3213654.20944559	12170813	88786	12176601	2398482	12182388	4513201	12170813	0.87267	12176601	1.08276	12182388	1.21712	12170813	101740.635062509	12176601	2215155.71317744	12182388	3708098.62626528
103	12241123	4624	12246910	17836	12252713	661768	12241123	0.87307	12246910	1.08327	12252713	1.217	12241123	5296.25345046789	12246910	16464.9625670424	12252713	543769.926047658	12257690	94411	12263462	2256760	12269265	1489788	12257690	0.87311	12263462	1.08344	12269265	1.21667	12257690	108131.85051139	12263462	2082957.98567526	12269265	1224479.93293169	12274241	23862	12280013	303763	12285817	3951939	12274241	0.87359	12280013	1.08422	12285817	1.21721	12274241	27314.8731098112	12280013	280167.309217686	12285817	3246719.13638567	12290793	87597	12296581	2401529	12302384	4510489	12290793	0.87354	12296581	1.08377	12302384	1.21728	12290793	100278.178446322	12296581	2215902.82070919	12302384	3705383.31361725
104	12361134	4411	12366921	18299	12372724	660928	12361134	0.87352	12366921	1.08293	12372724	1.21724	12361134	5049.68403699973	12366921	16897.6757500485	12372724	542972.626597877	12377716	93292	12383488	2260963	12389292	1482564	12377716	0.87287	12383488	1.08437	12389292	1.21691	12377716	106879.604064752	12383488	2085047.5391241	12389292	1218302.09300606	12394268	23712	12400056	303666	12405859	3999676	12394268	0.87346	12400056	1.08406	12405859	1.21732	12394268	27147.2076569047	12400056	280119.181595115	12405859	3285640.58752013	12410835	87083	12416623	2402240	12422426	4508155	12410835	0.87319	12416623	1.08391	12422426	1.21693	12410835	99729.726634524	12416623	2216272.56875571	12422426	3704531.07409629
105	12481145	4523	12486932	18042	12492735	661823	12481145	0.87269	12486932	1.08278	12492735	1.21665	12481145	5182.82551650643	12486932	16662.6646225457	12492735	543971.561254264	12497696	93389	12503484	2254760	12509303	1478279	12497696	0.87269	12503484	1.08348	12509303	1.21659	12497696	107012.799504979	12503484	2081035.18292908	12509303	1215100.40358708	12514263	23750	12520035	301962	12525839	4032543	12514263	0.87248	12520035	1.08287	12525839	1.21644	12514263	27221.2543554007	12520035	278853.41730771	12525839	3315036.49995068	12530815	87960	12536587	2401535	12542390	4500011	12530815	0.87272	12536587	1.08375	12542390	1.2159	12530815	100788.339902833	12536587	2215949.25028835	12542390	3700971.29698166
