WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	23451	605842	329566	611645	4543843	600055	0.84125	605842	1.02817	611645	1.10088	600055	27876.3744427935	605842	320536.487156793	611645	4127464.39212267	616622	24916	622409	802449	628197	4298188	616622	0.8414	622409	1.02812	628197	1.10052	616622	29612.550511053	622409	780501.303349804	628197	3905597.35397812	633189	27966	638977	1532387	644780	3807870	633189	0.84054	638977	1.0275	644780	1.10062	633189	33271.4683417803	638977	1491374.20924574	644780	3459749.95911395	649756	31894	655544	681498	661347	2240253	649756	0.84144	655544	1.02748	661347	1.10001	649756	37904.0692146796	655544	663271.30455094	661347	2036575.12204435
7	720066	23776	725853	327662	731656	4534534	720066	0.84161	725853	1.02811	731656	1.09948	720066	28250.6148928839	725853	318703.251597592	731656	4124253.28337032	736633	24610	742420	802234	748208	4281148	736633	0.84046	742420	1.02763	748208	1.09867	736633	29281.5838945339	742420	780664.246859278	748208	3896664.14847042	753184	28279	758956	1531429	764760	3802587	753184	0.84063	758956	1.02777	764760	1.10117	753184	33640.2460059717	758956	1490050.30308337	764760	3453224.29779235	769736	32268	775539	683780	781342	2238153	769736	0.84128	775539	1.0285	781342	1.10007	769736	38355.8387219475	775539	664832.280019446	781342	2034555.07376803
8	840077	23929	845864	328802	851683	4533373	840077	0.84138	845864	1.02874	851683	1.10067	840077	28440.1816064085	845864	319616.229562377	851683	4118739.49503484	856659	24861	862447	798186	868250	4271202	856659	0.84044	862447	1.02794	868250	1.10008	856659	29580.9337965827	862447	776490.845769208	868250	3882628.53610647	873227	28141	878999	1532004	884802	3792586	873227	0.84043	878999	1.02843	884802	1.10058	873227	33484.0498316338	878999	1489653.16064292	884802	3445988.47880209	889778	32005	895566	681726	901369	2230476	889778	0.84086	895566	1.02833	901369	1.10022	889778	38062.2220107985	895566	662944.774537357	901369	2027299.99454655
9	960088	23845	965891	327179	971694	4525479	960088	0.84131	965891	1.02895	971694	1.10136	960088	28342.7036407507	965891	317973.662471452	971694	4108991.61037263	976655	24776	982427	800457	988230	4267144	976655	0.84098	982427	1.0298	988230	1.10219	976655	29460.8670836405	982427	777293.649252282	988230	3871513.98579192	993206	28060	998994	1530440	1004797	3787600	993206	0.8409	998994	1.0291	1004797	1.10269	993206	33369.0093946962	998994	1487163.54095812	1004797	3434872.90172215	1009789	32109	1015577	682976	1021380	2236597	1009789	0.84153	1015577	1.03	1021380	1.1029	1009789	38155.50247763	1015577	663083.495145631	1021380	2027923.65581648
10	1080099	23972	1085886	328069	1091689	4524089	1080099	0.84228	1085886	1.03093	1091689	1.10335	1080099	28460.8443747922	1085886	318226.26172485	1091689	4100320.84107491	1096666	24653	1102438	799570	1108241	4260952	1096666	0.84168	1102438	1.02996	1108241	1.10344	1096666	29290.2290656782	1102438	776311.701425298	1108241	3861516.71137534	1113217	28346	1119005	1531901	1124808	3784365	1113217	0.84176	1119005	1.03049	1124808	1.10294	1113217	33674.681619464	1119005	1486575.31853778	1124808	3431161.25990534	1129785	32331	1135588	682581	1141376	2230450	1129785	0.84153	1135588	1.03035	1141376	1.10302	1129785	38419.3076895654	1135588	662474.887174261	1141376	2022130.15176515
11	1200110	22433	1205897	221658	1211716	4371400	1200110	0.84232	1205897	1.03019	1211716	1.10298	1200110	26632.3962389591	1205897	215162.251623487	1211716	3963263.15980344	1216692	22880	1222464	554798	1228268	4067529	1216692	0.84226	1222464	1.03028	1228268	1.10256	1216692	27165.008429701	1222464	538492.448654735	1228268	3689167.93643883	1233244	28424	1239032	1531339	1244819	3780350	1233244	0.84263	1239032	1.03062	1244819	1.10272	1233244	33732.4804481208	1239032	1485842.50257127	1244819	3428204.80266976	1249811	32363	1255599	682926	1261402	2229631	1249811	0.84181	1255599	1.03085	1261402	1.103	1249811	38444.54211758	1255599	662488.237861959	1261402	2021424.29737081
12	1320121	22099	1325924	117005	1331727	4362096	1320121	0.84178	1325924	1.03119	1331727	1.10259	1320121	26252.7026063817	1325924	113465.99559732	1331727	3956226.7025821	1336703	22594	1342507	311509	1348310	4058377	1336703	0.84271	1342507	1.0295	1348310	1.10277	1336703	26811.1212635426	1342507	302582.807187955	1348310	3680166.30847774	1353286	26036	1359058	906561	1364861	3622022	1353286	0.84205	1359058	1.03012	1364861	1.1027	1353286	30919.7791105041	1359058	880053.780142119	1364861	3284684.86442369	1369838	29865	1375626	430077	1381413	2145093	1369838	0.84166	1375626	1.03099	1381413	1.10423	1369838	35483.4493738564	1375626	417149.535882986	1381413	1942614.31042446
13	1440132	21980	1445935	65829	1451738	4360707	1440132	0.84302	1445935	1.03016	1451738	1.1035	1440132	26072.9282816541	1445935	63901.7240040382	1451738	3951705.48255551	1456699	22401	1462486	183418	1468274	4049415	1456699	0.84235	1462486	1.03117	1468274	1.10328	1456699	26593.4587760432	1462486	177873.677473162	1468274	3670342.07091582	1473250	25381	1479038	507232	1484826	3611732	1473250	0.84289	1479038	1.03052	1484826	1.10389	1473250	30111.8769946256	1479038	492209.758180336	1484826	3271822.37360607	1489818	29777	1495605	244990	1501409	2129283	1489818	0.84329	1495605	1.03079	1501409	1.10351	1489818	35310.5100262069	1495605	237672.076756662	1501409	1929554.78427925
14	1560143	21815	1565930	40425	1571733	4352858	1560143	0.84461	1565930	1.03074	1571733	1.10562	1560143	25828.4888883627	1565930	39219.39577391	1571733	3937028.99730468	1576710	22031	1582482	112817	1588285	4047699	1576710	0.84346	1582482	1.03253	1588285	1.10566	1576710	26119.7922841629	1582482	109262.684861457	1588285	3660889.42351175	1593246	24824	1599034	300963	1604837	3604270	1593246	0.84388	1599034	1.03222	1604837	1.1053	1593246	29416.5047163104	1599034	291568.657844258	1604837	3260897.49389306	1609813	29903	1615585	148939	1621388	2130582	1609813	0.84344	1615585	1.03196	1621388	1.10482	1609813	35453.6185146543	1615585	144326.330477926	1621388	1928442.64224037
15	1680154	21898	1685941	27050	1691744	4340487	1680154	0.8427	1685941	1.03126	1691744	1.10394	1680154	25985.5227245758	1685941	26230.0486783158	1691744	3931814.22903419	1696705	22441	1702493	73088	1708296	4040049	1696705	0.84295	1702493	1.03079	1708296	1.10424	1696705	26621.9823239813	1702493	70904.8399771049	1708296	3658669.31101934	1713273	24519	1719060	186435	1724863	3598428	1713273	0.84355	1719060	1.03217	1724863	1.1038	1713273	29066.4453796455	1719060	180624.315761938	1724863	3260036.23844899	1729840	29425	1735643	92141	1741446	2127403	1729840	0.84402	1735643	1.03186	1741446	1.10467	1729840	34862.9179403332	1735643	89296.0285310023	1741446	1925826.71748124
16	1800165	22140	1805968	20002	1811771	4340667	1800165	0.84365	1805968	1.03187	1811771	1.10484	1800165	26243.1102945534	1805968	19384.2247569946	1811771	3928774.3021614	1816747	21905	1822520	49700	1828323	4032286	1816747	0.84384	1822520	1.03268	1828323	1.10532	1816747	25958.7125521426	1822520	48127.2030057714	1828323	3648071.14681721	1833299	24852	1839102	119933	1844906	3594771	1833299	0.84382	1839102	1.03134	1844906	1.10529	1833299	29451.7788153872	1839102	116288.517850563	1844906	3252332.87191597	1849898	29520	1855685	59324	1861488	2117769	1849898	0.84328	1855685	1.03223	1861488	1.10456	1849898	35006.166397875	1855685	57471.6875115042	1861488	1917296.48004635
17	1920176	21920	1925963	15987	1931766	4329822	1920176	0.84369	1925963	1.03195	1931766	1.1051	1920176	25981.106804632	1925963	15492.0296525994	1931766	3918036.37679848	1936743	22043	1942515	35958	1948318	4025111	1936743	0.84359	1942515	1.03185	1948318	1.10461	1936743	26129.9920577532	1942515	34848.0883849397	1948318	3643920.478721	1953310	24476	1959098	81563	1964885	3585844	1953310	0.84351	1959098	1.03259	1964885	1.10416	1953310	29016.8462733103	1959098	78988.7564280111	1964885	3247576.43819736	1969877	28934	1975665	40728	1981468	2114249	1969877	0.84393	1975665	1.0317	1981468	1.10509	1969877	34284.8340502174	1975665	39476.5920325676	1981468	1913191.68574505
18	2040187	21896	2045974	13978	2051778	4320016	2040187	0.84377	2045974	1.03245	2051778	1.10514	2040187	25950.1996989701	2045974	13538.6701535183	2051778	3909021.48144127	2056770	22006	2062542	28086	2068360	4016361	2056770	0.84368	2062542	1.03133	2068360	1.10414	2056770	26083.3491371136	2062542	27232.7964860908	2068360	3637546.86905646	2073337	24758	2079124	59490	2084928	3582808	2073337	0.84404	2079124	1.03169	2084928	1.10483	2073337	29332.7330458272	2079124	57662.6699880778	2084928	3242859.08239277	2089904	29384	2095692	29172	2101479	2113300	2089904	0.844	2095692	1.03154	2101479	1.10459	2089904	34815.1658767773	2095692	28280.0473079086	2101479	1913198.56236251
19	2160198	21960	2165985	12361	2171789	4311138	2160198	0.84471	2165985	1.03197	2171789	1.1046	2160198	25997.0877579288	2165985	11978.0613777532	2171789	3902895.16567083	2176765	22029	2182537	23061	2188340	4008805	2176765	0.84395	2182537	1.03097	2188340	1.10449	2176765	26102.2572427277	2182537	22368.2551383648	2188340	3629553.00636493	2193317	24269	2199104	45493	2204907	3570937	2193317	0.84356	2199104	1.03138	2204907	1.10438	2193317	28769.7377779885	2199104	44108.8638523144	2204907	3233431.42758833	2209868	29242	2215656	22409	2221459	2109931	2209868	0.8434	2215656	1.03199	2221459	1.10514	2209868	34671.5674650225	2215656	21714.3576972645	2221459	1909197.92967407
20	2280209	21928	2285996	11715	2291800	4309728	2280209	0.84433	2285996	1.03275	2291800	1.10576	2280209	25970.8881598427	2285996	11343.5003631082	2291800	3897525.68369266	2296776	22252	2302564	19842	2308367	4013704	2296776	0.84438	2302564	1.03211	2308367	1.10659	2296776	26353.0637864469	2302564	19224.6950421951	2308367	3627092.23831772	2313343	24701	2319131	36953	2324918	3578310	2313343	0.84459	2319131	1.03266	2324918	1.10549	2313343	29246.1430990185	2319131	35784.2852439331	2324918	3236854.24562863	2329895	29585	2335682	18258	2341486	2108982	2329895	0.84469	2335682	1.03206	2341486	1.10584	2329895	35024.6836117392	2335682	17690.8319283763	2341486	1907131.23055777
21	2400220	22181	2406007	11066	2411826	4307935	2400220	0.84361	2406007	1.03278	2411826	1.10594	2400220	26292.955275542	2406007	10714.7698444974	2411826	3895270.08698483	2416803	21877	2422575	18064	2428378	4001141	2416803	0.84456	2422575	1.03214	2428378	1.10584	2416803	25903.429004452	2422575	17501.5017342609	2428378	3618191.60095493	2433354	24632	2439142	31874	2444945	3567879	2433354	0.84428	2439142	1.03266	2444945	1.10538	2433354	29175.1551617947	2439142	30865.9190827571	2444945	3227739.7817945	2449937	29483	2455709	15396	2461512	2099973	2449937	0.84442	2455709	1.03274	2461512	1.10601	2449937	34915.0896473319	2455709	14907.9148672464	2461512	1898692.59771611
22	2520231	22056	2526034	10901	2531837	4294719	2520231	0.84434	2526034	1.03281	2531837	1.10483	2520231	26122.1782694175	2526034	10554.7002836921	2531837	3887221.56349846	2536814	22316	2542586	16565	2548389	3988960	2536814	0.84461	2542586	1.03232	2548389	1.10517	2536814	26421.6620688839	2542586	16046.380967142	2548389	3609363.26537999	2553365	24552	2559153	28615	2564940	3561118	2553365	0.84493	2559153	1.03215	2564940	1.10576	2553365	29058.0284757317	2559153	27723.6835731241	2564940	3220516.20604833	2569917	29233	2575704	13523	2581508	2102126	2569917	0.844	2575704	1.03297	2581508	1.10514	2569917	34636.2559241706	2575704	13091.3772907248	2581508	1902135.47604828
23	2640257	21894	2646045	10521	2651848	4292176	2640257	0.84417	2646045	1.03274	2651848	1.10533	2640257	25935.5343118092	2646045	10187.4624784554	2651848	3883162.49445867	2656825	21798	2662612	15460	2668400	3987745	2656825	0.84391	2662612	1.03249	2668400	1.10592	2656825	25829.768577218	2662612	14973.5106393282	2668400	3605816.87644676	2673376	24628	2679164	25599	2684967	3560041	2673376	0.84491	2679164	1.03256	2684967	1.1059	2673376	29148.6667218994	2679164	24791.7796544511	2684967	3219134.64146849	2689928	29434	2695715	12598	2701550	2096491	2689928	0.84438	2695715	1.03276	2701550	1.10511	2689928	34858.7129017741	2695715	12198.3810372207	2701550	1897088.07268055
24	2760268	22118	2766056	10085	2771875	4286965	2760268	0.84507	2766056	1.03282	2771875	1.10609	2760268	26172.9797531565	2766056	9764.52818496931	2771875	3875783.16411865	2776836	22035	2782623	15011	2788442	3988568	2776836	0.84449	2782623	1.03318	2788442	1.10672	2776836	26092.6713164158	2782623	14528.9300993051	2788442	3603954.02631199	2793418	24535	2799206	23718	2805009	3554314	2793418	0.8447	2799206	1.03345	2805009	1.10613	2793418	29045.8150822777	2799206	22950.3120615414	2805009	3213287.76906874	2809986	29357	2815773	11743	2821561	2093938	2809986	0.84501	2815773	1.03257	2821561	1.10522	2809986	34741.6006911161	2815773	11372.5945940711	2821561	1894589.31253506
25	2880279	21921	2886083	10128	2891886	4280106	2880279	0.84479	2886083	1.03272	2891886	1.10712	2880279	25948.4605641639	2886083	9807.11131768533	2891886	3865982.00737048	2896862	22261	2902650	14164	2908437	3979998	2896862	0.84523	2902650	1.03248	2908437	1.10708	2896862	26337.2099901802	2902650	13718.4255385092	2908437	3595041.00877985	2913414	24518	2919201	22851	2925005	3547023	2913414	0.84556	2919201	1.03303	2925005	1.10668	2913414	28996.168219878	2919201	22120.3643650233	2925005	3205102.64936567	2929981	29331	2935769	11133	2941572	2093545	2929981	0.84522	2935769	1.03405	2941572	1.10615	2929981	34702.2077092355	2935769	10766.4039456506	2941572	1892641.14270217
26	3000290	21054	3006078	9751	3011897	4142414	3000290	0.8447	3006078	1.0334	3011897	1.10739	3000290	24924.8253817924	3006078	9435.84284884846	3011897	3740700.2049865	3016873	20965	3022661	14306	3028480	3854831	3016873	0.84473	3022661	1.03314	3028480	1.1062	3016873	24818.5810850804	3022661	13847.1068780611	3028480	3484750.49719761	3033440	24486	3039228	21311	3045031	3545695	3033440	0.84516	3039228	1.03346	3045031	1.10618	3033440	28972.0289649297	3039228	20621.0206490817	3045031	3205350.84705925	3050008	29017	3055795	10497	3061583	2090891	3050008	0.84527	3055795	1.03379	3061583	1.10599	3050008	34328.6760443409	3055795	10153.8997281846	3061583	1890515.28494833
27	3120301	20913	3126089	9584	3131908	4125405	3120301	0.84448	3126089	1.03353	3131908	1.10701	3120301	24764.3520272831	3126089	9273.07383433475	3131908	3726619.4523988	3136884	20985	3142656	13680	3148459	3837868	3136884	0.84528	3142656	1.03305	3148459	1.10637	3136884	24826.093128904	3142656	13242.3406417889	3148459	3468882.92343429	3153436	24458	3159223	20741	3165027	3547821	3153436	0.84596	3159223	1.03477	3165027	1.10852	3153436	28911.5324601636	3159223	20044.0677638509	3165027	3200502.47176415	3170003	28993	3175791	10267	3181594	2091411	3170003	0.84609	3175791	1.03499	3181594	1.10752	3170003	34267.0401493931	3175791	9919.90260775467	3181594	1888373.12193008
28	3240312	20858	3246100	9283	3251903	4120057	3240312	0.84582	3246100	1.03491	3251903	1.10852	3240312	24660.0931640302	3246100	8969.86211361374	3251903	3716718.68798037	3256880	21225	3262667	13148	3268455	3835651	3256880	0.84591	3262667	1.03468	3268455	1.10757	3256880	25091.3217718197	3262667	12707.3104728032	3268455	3463122.87259496	3273431	23465	3279219	21034	3285022	3422888	3273431	0.84612	3279219	1.03408	3285022	1.10794	3273431	27732.4729352811	3279219	20340.7860126876	3285022	3089416.39438959	3289998	27907	3295786	10311	3301589	2018346	3289998	0.84698	3295786	1.03601	3301589	1.10777	3289998	32948.8299605658	3295786	9952.60663507109	3301589	1821990.12430378
