WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
71	8400786	14323	8406573	252439	8412377	1444442	8400786	0.8498	8406573	1.03765	8412377	1.11274	8400786	16854.5540127089	8406573	243279.525851684	8412377	1298094.79303341	8417353	14472	8423141	618023	8428928	1102957	8417353	0.84953	8423141	1.03854	8428928	1.11155	8417353	17035.3018728003	8423141	595088.297032372	8428928	992269.353605326	8433905	10212	8439692	1183881	8445496	2878170	8433905	0.84962	8439692	1.03881	8445496	1.11177	8433905	12019.4910665945	8439692	1139651.13928437	8445496	2588817.8310262	8450472	14907	8456260	525843	8462063	1435658	8450472	0.84959	8456260	1.03833	8462063	1.11078	8450472	17546.1104768182	8456260	506431.481320967	8462063	1292477.35825276
72	8520797	14376	8526569	251490	8532388	1431269	8520797	0.84969	8526569	1.03923	8532388	1.11193	8520797	16919.111676023	8526569	241996.478161716	8532388	1287193.43843587	8537364	14387	8543152	618361	8548955	1097767	8537364	0.85023	8543152	1.03822	8548955	1.11137	8537364	16921.3036472484	8543152	595597.272254435	8548955	987760.151884611	8553931	10282	8559719	1181262	8565522	2869222	8553931	0.84962	8559719	1.03803	8565522	1.11046	8553931	12101.8808408465	8559719	1137984.45131644	8565522	2583813.91495416	8570499	15067	8576286	526593	8582074	1467997	8570499	0.84979	8576286	1.03853	8582074	1.11019	8570499	17730.2627708022	8576286	507056.12741086	8582074	1322293.48129599
73	8640808	14256	8646595	251664	8652399	1422612	8640808	0.84959	8646595	1.03867	8652399	1.11105	8640808	16779.858519992	8646595	242294.472739176	8652399	1280421.22316727	8657375	14478	8663163	618689	8668966	1089761	8657375	0.84843	8663163	1.03832	8668966	1.11151	8657375	17064.4602383226	8663163	595855.805532013	8668966	980432.924580076	8673942	10313	8679714	1180898	8685518	2878621	8673942	0.84919	8679714	1.038	8685518	1.11101	8673942	12144.5141841049	8679714	1137666.66666667	8685518	2590994.68051593	8690478	14942	8696266	525412	8702054	1498215	8690478	0.84888	8696266	1.03798	8702054	1.11107	8690478	17602.0167750448	8696266	506187.017090888	8702054	1348443.39240552
74	8760819	14457	8766606	251664	8772410	1416197	8760819	0.85017	8766606	1.03795	8772410	1.11206	8760819	17004.8343272522	8766606	242462.546365432	8772410	1273489.73976224	8777386	14800	8783174	617836	8788961	1078745	8777386	0.84905	8783174	1.03865	8788961	1.11116	8777386	17431.2466874742	8783174	594845.231791268	8788961	970827.783577523	8793938	10323	8799710	1181007	8805513	2880182	8793938	0.84991	8799710	1.03863	8805513	1.11183	8793938	12145.9919285571	8799710	1137081.54010572	8805513	2590487.75442289	8810505	15158	8816293	525536	8822096	1524201	8810505	0.8495	8816293	1.03861	8822096	1.11205	8810505	17843.4373160683	8816293	505999.364535292	8822096	1370622.72379839
75	8880830	14388	8886618	251978	8892421	1407659	8880830	0.84872	8886618	1.03909	8892421	1.11107	8880830	16952.5874257706	8886618	242498.724845779	8892421	1266939.97677914	8897397	14446	8903185	618840	8908972	1073388	8897397	0.84927	8903185	1.03826	8908972	1.11182	8897397	17009.9026222521	8903185	596035.675071755	8908972	965433.253584213	8913949	10149	8919736	1177464	8925524	2877857	8913949	0.84968	8919736	1.03948	8925524	1.11121	8913949	11944.4967517183	8919736	1132743.29472429	8925524	2589840.80416843	8930500	15118	8936288	526375	8942076	1539397	8930500	0.84934	8936288	1.03922	8942076	1.11193	8930500	17799.7032990322	8936288	506509.689959778	8942076	1384436.96995314
76	9000841	14249	9006629	251617	9012432	1400630	9000841	0.84956	9006629	1.0386	9012432	1.11159	9000841	16772.2114977165	9006629	242265.549778548	9012432	1260023.92968631	9017408	14459	9023180	619573	9028983	1066025	9017408	0.84977	9023180	1.03884	9028983	1.11259	9017408	17015.1923461643	9023180	596408.494089562	9028983	958147.206068723	9033975	10363	9039747	1180786	9045566	2877896	9033975	0.84953	9039747	1.0387	9045566	1.11162	9033975	12198.5097642226	9039747	1136792.14402619	9045566	2588920.67433116	9050558	15184	9056330	525984	9062133	1557917	9050558	0.84969	9056330	1.03903	9062133	1.11198	9050558	17870.0467229225	9056330	506225.9992493	9062133	1401029.69477868
77	9120852	14474	9126640	251470	9132443	1393217	9120852	0.84926	9126640	1.03808	9132443	1.1116	9120852	17043.0727927843	9126640	242245.299013563	9132443	1253343.82871537	9137419	14601	9143191	617986	9148994	1057926	9137419	0.84963	9143191	1.03959	9148994	1.11148	9137419	17185.1276437979	9143191	594451.658827038	9148994	951817.396624321	9153971	10414	9159743	1180994	9165546	2876896	9153971	0.84953	9159743	1.03857	9165546	1.11323	9153971	12258.5429590479	9159743	1137134.71407801	9165546	2584278.18150786	9170522	15211	9176326	526102	9182129	1567450	9170522	0.85049	9176326	1.04012	9182129	1.11172	9170522	17884.9839504286	9176326	505808.945121717	9182129	1409932.35706833
78	9240863	14279	9246635	252225	9252438	1388589	9240863	0.84913	9246635	1.03806	9252438	1.11223	9240863	16816.0352360651	9246635	242977.284550026	9252438	1248472.88780198	9257415	14804	9263202	619184	9269005	1050783	9257415	0.85016	9263202	1.03858	9269005	1.11113	9257415	17413.192810765	9263202	596183.250207014	9269005	945688.623293404	9273997	10400	9279769	1177954	9285557	2865973	9273997	0.84903	9279769	1.0384	9285557	1.11155	9273997	12249.2726994335	9279769	1134393.29738059	9285557	2578357.24888669	9290533	15283	9296305	525643	9302109	1577458	9290533	0.84971	9296305	1.03882	9302109	1.11262	9290533	17986.1364465524	9296305	506000.077010454	9302109	1417786.84546386
79	9360874	14294	9366662	251514	9372480	1381892	9360874	0.8498	9366662	1.03888	9372480	1.1119	9360874	16820.4283360791	9366662	242101.108886493	9372480	1242820.39751776	9377457	14566	9383244	618091	9389032	1046045	9377457	0.84925	9383244	1.0392	9389032	1.11261	9377457	17151.6043567854	9383244	594775.789068514	9389032	940172.207691824	9394008	10616	9399796	1180259	9405599	2867440	9394008	0.84972	9399796	1.03894	9405599	1.11228	9394008	12493.5272795744	9399796	1136022.29195141	9405599	2577983.96087316	9410576	15145	9416363	525048	9422182	1580281	9410576	0.84987	9416363	1.03884	9422182	1.11107	9410576	17820.372527563	9416363	505417.581148204	9422182	1422305.52530444
80	9480885	14277	9486673	251009	9492476	1374687	9480885	0.84992	9486673	1.03871	9492476	1.1116	9480885	16798.0515813253	9486673	241654.552281195	9492476	1236674.16336812	9497452	14844	9503240	615226	9509043	1041376	9497452	0.84925	9503240	1.0378	9509043	1.11229	9497452	17478.9520164851	9503240	592817.498554635	9509043	936245.044008307	9514019	10795	9519807	1180889	9525595	2860805	9514019	0.84992	9519807	1.0386	9525595	1.11064	9514019	12701.1954066265	9519807	1137000.77026767	9525595	2575816.64625801	9530587	15141	9536374	524064	9542177	1586670	9530587	0.84984	9536374	1.03853	9542177	1.11143	9530587	17816.2948319684	9536374	504620.954618547	9542177	1427593.28072843
81	9600896	14328	9606699	251183	9612502	1368985	9600896	0.84914	9606699	1.03828	9612502	1.1113	9600896	16873.5426431448	9606699	241922.21751358	9612502	1231877.08089625	9617479	14793	9623251	617913	9629054	1032137	9617479	0.85005	9623251	1.03932	9629054	1.11171	9617479	17402.5057349568	9623251	594535.850363699	9629054	928422.880067644	9634030	10633	9639818	1179160	9645606	2857396	9634030	0.84961	9639818	1.03916	9645606	1.11153	9634030	12515.1540118407	9639818	1134724.20031564	9645606	2570687.25090641	9650582	15404	9656370	524770	9662173	1586330	9650582	0.84979	9656370	1.03832	9662173	1.11086	9650582	18126.8313348004	9656370	505402.958625472	9662173	1428019.73245954
82	9720907	14299	9726679	250927	9732482	1362424	9720907	0.85	9726679	1.03827	9732482	1.111	9720907	16822.3529411765	9726679	241677.983568821	9732482	1226304.23042304	9737459	14769	9743246	618828	9749049	1029239	9737459	0.8494	9743246	1.03827	9749049	1.11155	9737459	17387.5676948434	9743246	596018.376722818	9749049	925949.350006747	9754026	10663	9759813	1178243	9765617	2858275	9754026	0.84932	9759813	1.03807	9765617	1.1118	9754026	12554.7496820986	9759813	1135032.31959309	9765617	2570853.57078611	9770593	15327	9776365	526323	9782184	1587472	9770593	0.84933	9776365	1.03845	9782184	1.11073	9770593	18045.9891914803	9776365	506835.187057634	9782184	1429215.02075212
83	9840918	14354	9846706	250146	9852509	1358365	9840918	0.84935	9846706	1.03862	9852509	1.11155	9840918	16899.982339436	9846706	240844.582234118	9852509	1222045.79191219	9857485	14682	9863273	616898	9869076	1022035	9857485	0.84954	9863273	1.03786	9869076	1.11126	9857485	17282.2939473127	9863273	594394.234289789	9869076	919708.259093282	9874052	10745	9879840	1178625	9885628	2853432	9874052	0.84967	9879840	1.03777	9885628	1.11125	9874052	12646.0861275554	9879840	1135728.53329736	9885628	2567767.82902137	9890620	15477	9896407	525412	9902210	1588690	9890620	0.84939	9896407	1.0388	9902210	1.11113	9890620	18221.3117649136	9896407	505787.447054293	9902210	1429796.69345621
84	9960929	14135	9966717	250979	9972520	1350037	9960929	0.85029	9966717	1.03838	9972520	1.11042	9960929	16623.7401357184	9966717	241702.459600532	9972520	1215789.52108211	9977496	14651	9983284	617410	9989087	1017039	9977496	0.84974	9983284	1.03815	9989087	1.11097	9977496	17241.7445336221	9983284	594721.379376776	9989087	915451.362323015	9994063	11058	9999835	1180529	10005639	2851397	9994063	0.84898	9999835	1.03851	10005639	1.11122	9994063	13025.0418148837	9999835	1136752.65524646	10005639	2566005.83142852	10010615	15458	10016387	524658	10022190	1583779	10010615	0.85003	10016387	1.0381	10022190	1.11035	10010615	18185.2405209228	10016387	505402.177054234	10022190	1426378.1690458
85	10080940	14325	10086728	251197	10092531	1347618	10080940	0.84998	10086728	1.03867	10092531	1.11186	10080940	16853.3377255935	10086728	241844.859291209	10092531	1212039.28552156	10097507	14895	10103295	619256	10109082	1011262	10097507	0.85006	10103295	1.03881	10109082	1.1124	10097507	17522.2925440557	10103295	596120.561026559	10109082	909081.265731751	10114059	10997	10119846	1181113	10125650	2850929	10114059	0.85038	10119846	1.03886	10125650	1.11148	10114059	12931.8657541334	10119846	1136931.82912038	10125650	2564984.52513765	10130626	15416	10136414	524274	10142186	1587097	10130626	0.85035	10136414	1.03958	10142186	1.11257	10130626	18129.0057035338	10136414	504313.280363224	10142186	1426514.28674151
86	10200951	14163	10206739	250540	10212542	1343880	10200951	0.84964	10206739	1.03898	10212542	1.11302	10200951	16669.4129278283	10206739	241140.349188627	10212542	1207417.65646619	10217518	14785	10223306	616996	10229109	1009505	10217518	0.85087	10223306	1.03964	10229109	1.11203	10217518	17376.3324597177	10223306	593470.816821207	10229109	907803.746301809	10234085	11004	10239857	1179817	10245661	2842864	10234085	0.85006	10239857	1.03932	10245661	1.1117	10234085	12944.9685904524	10239857	1135181.65723742	10245661	2557222.27219574	10250622	15576	10256394	525131	10262197	1583416	10250622	0.85041	10256394	1.0391	10262197	1.11171	10250622	18315.8711680248	10256394	505370.994129535	10262197	1424306.69868941
87	10320962	14167	10326750	250520	10332553	1337660	10320962	0.84958	10326750	1.03847	10332553	1.11121	10320962	16675.2983827303	10326750	241239.515826167	10332553	1203786.8629692	10337529	14872	10343317	615922	10349120	1004130	10337529	0.84924	10343317	1.03802	10349120	1.11162	10337529	17512.128491357	10343317	593362.362960251	10349120	903303.287094511	10354096	11161	10359868	1179208	10365672	2836963	10354096	0.84942	10359868	1.03763	10365672	1.11146	10354096	13139.554048645	10359868	1136443.6263408	10365672	2552465.22591906	10370648	15535	10376420	524444	10382223	1582850	10370648	0.84987	10376420	1.03886	10382223	1.11152	10370648	18279.2662407192	10376420	504826.444371715	10382223	1424040.95292932
88	10440973	14718	10446761	250680	10452564	1335589	10440973	0.84972	10446761	1.03851	10452564	1.11099	10440973	17320.999858777	10446761	241384.290955311	10452564	1202161.13556378	10457540	14900	10463328	617141	10469131	997850	10457540	0.85037	10463328	1.03812	10469131	1.11069	10457540	17521.7846349236	10463328	594479.443609602	10469131	898405.495682864	10474123	11104	10479911	1178502	10485714	2840964	10474123	0.84957	10479911	1.03819	10485714	1.11126	10474123	13070.141365632	10479911	1135150.59863801	10485714	2556525.02564656	10490675	15367	10496462	523504	10502281	1580869	10490675	0.84928	10496462	1.03875	10502281	1.11136	10490675	18094.1503391108	10496462	503974.969915764	10502281	1422463.46818313
89	10560984	14278	10566772	249971	10572575	1331060	10560984	0.85046	10566772	1.03897	10572575	1.11141	10560984	16788.5614843732	10566772	240595.012368018	10572575	1197631.83703584	10577536	15079	10583323	615352	10589126	995719	10577536	0.85033	10583323	1.03886	10589126	1.11172	10577536	17733.1153787353	10583323	592333.90447221	10589126	895656.280358364	10594103	11070	10599891	1175994	10605694	2830181	10594103	0.84952	10599891	1.03855	10605694	1.11116	10594103	13030.888030888	10599891	1132342.20788599	10605694	2547050.82976349	10610670	15665	10616473	524654	10622277	1576015	10610670	0.84966	10616473	1.03809	10622277	1.11089	10610670	18436.7864792976	10616473	505403.19240143	10622277	1418695.82046827
90	10680995	14196	10686783	251631	10692586	1328689	10680995	0.84986	10686783	1.03857	10692586	1.11092	10680995	16703.9277057398	10686783	242286.027903752	10692586	1196025.81644043	10697562	14961	10703350	616583	10709153	992590	10697562	0.84992	10703350	1.03828	10709153	1.11167	10697562	17602.8332078313	10703350	593850.406441422	10709153	892881.880414152	10714114	11113	10719902	1178233	10725705	2829277	10714114	0.84983	10719902	1.03838	10725705	1.11204	10714114	13076.7329936576	10719902	1134683.83443441	10725705	2544222.33013201	10730681	15630	10736469	525470	10742272	1575137	10730681	0.8505	10736469	1.03948	10742272	1.11196	10730681	18377.4250440917	10736469	505512.371570401	10742272	1416541.06262815
91	10801006	14445	10806794	249501	10812612	1328177	10801006	0.85029	10806794	1.03895	10812612	1.11189	10801006	16988.3216314434	10806794	240147.264064681	10812612	1194521.94011998	10817589	15089	10823361	615504	10829164	986266	10817589	0.85001	10823361	1.03864	10829164	1.11188	10817589	17751.5558640487	10823361	592605.715165986	10829164	887025.578299817	10834141	11190	10839928	1179837	10845747	2828680	10834141	0.85028	10839928	1.0389	10845747	1.11168	10834141	13160.370701416	10839928	1135659.83251516	10845747	2544509.21128382	10850723	15808	10856511	523400	10862299	1575513	10850723	0.84951	10856511	1.03881	10862299	1.1122	10850723	18608.3742392673	10856511	503845.746575408	10862299	1416573.45801115
92	10921017	14501	10926805	249328	10932608	1322974	10921017	0.84965	10926805	1.03881	10932608	1.11225	10921017	17067.0275995998	10926805	240013.091903235	10932608	1189457.40615869	10937584	14959	10943372	617101	10949175	984129	10937584	0.85075	10943372	1.03875	10949175	1.11177	10937584	17583.3088451366	10943372	594080.385078219	10949175	885191.181629294	10954152	11442	10959924	1177818	10965727	2824892	10954152	0.8501	10959924	1.03882	10965727	1.11179	10954152	13459.5929890601	10959924	1133803.73885755	10965727	2540850.34044199	10970688	15873	10976460	524784	10982263	1568377	10970688	0.84948	10976460	1.03845	10982263	1.11096	10970688	18685.5488063286	10976460	505353.170590784	10982263	1411731.29545618
93	11041028	14481	11046816	250875	11052619	1322454	11041028	0.84943	11046816	1.03761	11052619	1.11227	11041028	17047.9027112299	11046816	241781.594240611	11052619	1188968.5058484	11057595	14886	11063383	617386	11069186	979552	11057595	0.84972	11063383	1.03873	11069186	1.11124	11057595	17518.7120463211	11063383	594366.197183099	11069186	881494.546632591	11074163	11432	11079966	1181462	11085769	2823043	11074163	0.84963	11079966	1.03888	11085769	1.11136	11074163	13455.2687640502	11079966	1137245.88017865	11085769	2540169.70198675	11090745	15491	11096517	523790	11102336	1569671	11090745	0.8492	11096517	1.03875	11102336	1.11118	11090745	18241.8747056053	11096517	504250.300842359	11102336	1412616.3177883
94	11161039	14245	11166827	249980	11172646	1318846	11161039	0.84977	11166827	1.0388	11172646	1.11184	11161039	16763.3594972757	11166827	240643.049672699	11172646	1186183.26377896	11177622	14920	11183394	615231	11189197	976010	11177622	0.8494	11183394	1.03785	11189197	1.1113	11177622	17565.3402401695	11183394	592793.756323168	11189197	878259.695851705	11194174	11468	11199961	1175071	11205780	2810837	11194174	0.84984	11199961	1.03818	11205780	1.11044	11194174	13494.3048103172	11199961	1131856.71078233	11205780	2531282.19444544	11210756	15446	11216544	524776	11222347	1566141	11210756	0.85004	11216544	1.0392	11222347	1.11197	11210756	18170.9096042539	11216544	504980.754426482	11222347	1408438.17728896
95	11281050	14161	11286838	250947	11292641	1315401	11281050	0.84988	11286838	1.03886	11292641	1.11219	11281050	16662.3523320939	11286838	241559.979207978	11292641	1182712.48617592	11297617	15176	11303405	615984	11309208	974770	11297617	0.85036	11303405	1.03802	11309208	1.11147	11297617	17846.5591043793	11303405	593422.092059883	11309208	877009.725858548	11314185	11536	11319957	1179016	11325760	2808879	11314185	0.8499	11319957	1.03824	11325760	1.11023	11314185	13573.3615719496	11319957	1135591.00015411	11325760	2529997.38792863	11330736	15749	11336508	523834	11342311	1562566	11330736	0.85022	11336508	1.03815	11342311	1.11137	11330736	18523.4409917433	11336508	504584.115975533	11342311	1405981.80623915
96	11401061	14371	11406833	250043	11412652	1315322	11401061	0.84913	11406833	1.03843	11412652	1.11148	11401061	16924.3814256945	11406833	240789.46101326	11412652	1183396.91222514	11417628	14815	11423416	618095	11429219	969636	11417628	0.85006	11423416	1.03872	11429219	1.11119	11417628	17428.1815401266	11423416	595054.490141713	11429219	872610.444658429	11434180	11669	11439968	1183996	11445771	2812453	11434180	0.84948	11439968	1.03839	11445771	1.11176	11434180	13736.6388849649	11439968	1140222.84498117	11445771	2529730.33748291	11450747	15724	11456535	526828	11462338	1559132	11450747	0.84957	11456535	1.03839	11462338	1.11133	11450747	18508.1864943442	11456535	507350.802684926	11462338	1402942.42034319
97	11521072	14336	11526860	250842	11532663	1312073	11521072	0.84953	11526860	1.03807	11532663	1.11074	11521072	16875.2133532659	11526860	241642.663789533	11532663	1181260.24092047	11537639	15237	11543427	616436	11549230	966402	11537639	0.84889	11543427	1.03795	11549230	1.11072	11537639	17949.3220558612	11543427	593897.586588949	11549230	870068.063958513	11554207	11832	11559979	1176832	11565782	2808371	11554207	0.84945	11559979	1.03745	11565782	1.11136	11554207	13929.012890694	11559979	1134350.57111186	11565782	2526967.85919954	11570743	15798	11576515	524815	11582318	1556754	11570743	0.85026	11576515	1.03897	11582318	1.11255	11570743	18580.1989979536	11576515	505130.080753054	11582318	1399266.54981799
98	11641083	14251	11646871	249124	11652690	1310465	11641083	0.85018	11646871	1.03813	11652690	1.11094	11641083	16762.3326824908	11646871	239973.799042509	11652690	1179600.1584244	11657666	15228	11663454	616393	11669257	964353	11657666	0.8498	11663454	1.03808	11669257	1.11134	11657666	17919.5104730525	11663454	593781.78945746	11669257	867738.94577717	11674218	11656	11680005	1181476	11685808	2804626	11674218	0.84991	11680005	1.03861	11685808	1.11124	11674218	13714.3932887012	11680005	1137555.0013961	11685808	2523870.6310068	11690785	15707	11696572	524465	11702376	1552618	11690785	0.8493	11696572	1.03744	11702376	1.11156	11690785	18494.0539267632	11696572	505537.669648365	11702376	1396791.89607399
99	11761094	14244	11766882	251695	11772685	1314420	11761094	0.85008	11766882	1.03855	11772685	1.11295	11761094	16756.0700169396	11766882	242352.318135862	11772685	1181023.40626264	11777677	15209	11783449	618685	11789252	963070	11777677	0.851	11783449	1.03967	11789252	1.1116	11777677	17871.9153936545	11783449	595078.245981898	11789252	866381.792011515	11794229	11806	11800016	1179572	11805804	2802986	11794229	0.85004	11800016	1.03859	11805804	1.11186	11794229	13888.7581760858	11800016	1135743.65245188	11805804	2520988.25391686	11810765	15830	11816537	524754	11822340	1548110	11810765	0.85028	11816537	1.03885	11822340	1.11109	11810765	18617.3966222891	11816537	505129.710737835	11822340	1393325.47318399
100	11881105	14476	11886893	250949	11892696	1308226	11881105	0.85032	11886893	1.03922	11892696	1.11175	11881105	17024.1791325619	11886893	241478.224052655	11892696	1176726.78210029	11897657	15178	11903460	618346	11909263	960812	11897657	0.85005	11903460	1.03924	11909263	1.112	11897657	17855.4202693959	11903460	594998.267965051	11909263	864039.568345324	11914224	11743	11920012	1176868	11925799	2796130	11914224	0.85064	11920012	1.03914	11925799	1.11171	11914224	13804.8998401204	11920012	1132540.36992128	11925799	2515161.32804418	11930776	16053	11936563	524411	11942351	1550725	11930776	0.85049	11936563	1.03876	11942351	1.11262	11930776	18875.001469741	11936563	504843.274673649	11942351	1393759.7742266
101	12001116	14357	12006904	249738	12012723	1310723	12001116	0.85009	12006904	1.03863	12012723	1.11246	12001116	16888.8000094108	12006904	240449.438202247	12012723	1178220.34050663	12017699	15343	12023471	616092	12029274	959594	12017699	0.8499	12023471	1.03915	12029274	1.11219	12017699	18052.7120837746	12023471	592880.719819083	12029274	862796.824283621	12034251	11880	12040023	1175730	12045826	2797117	12034251	0.85014	12040023	1.03914	12045826	1.11234	12034251	13974.1689604065	12040023	1131445.23355852	12045826	2514624.12571696	12050802	16030	12056574	523739	12062393	1545302	12050802	0.85028	12056574	1.03893	12062393	1.11186	12050802	18852.6132568095	12056574	504113.847901206	12062393	1389835.05117551
102	12121127	14262	12126915	250129	12132718	1311871	12121127	0.85017	12126915	1.03945	12132718	1.11234	12121127	16775.4684357246	12126915	240635.913223339	12132718	1179379.50626607	12137694	15404	12143482	616028	12149285	956802	12137694	0.85054	12143482	1.03942	12149285	1.11219	12137694	18110.8472264679	12143482	592665.140174328	12149285	860286.461845548	12154246	12039	12160034	1175550	12165837	2794913	12154246	0.84977	12160034	1.03932	12165837	1.11178	12154246	14167.3629334997	12160034	1131076.08821152	12165837	2513908.32718703	12170813	15963	12176601	522879	12182404	1542781	12170813	0.84955	12176601	1.03875	12182404	1.11224	12170813	18789.9476193279	12176601	503373.285198556	12182404	1387093.6128893
103	12241138	14444	12246941	250313	12252745	1312048	12241138	0.8512	12246941	1.04014	12252745	1.11316	12241138	16968.984962406	12246941	240653.181302517	12252745	1178669.73301233	12257737	15359	12263509	614680	12269296	954249	12257737	0.85074	12263509	1.03946	12269296	1.11234	12257737	18053.6944307309	12263509	591345.50632059	12269296	857875.289929338	12274273	12026	12280060	1177835	12285863	2789474	12274273	0.85018	12280060	1.04006	12285863	1.11181	12274273	14145.2398315651	12280060	1132468.31913543	12285863	2508948.47141148	12290855	15922	12296627	522982	12302431	1542728	12290855	0.85132	12296627	1.04014	12302431	1.11225	12290855	18702.7204811352	12296627	502799.623127656	12302431	1387033.49067206
104	12361149	14168	12366937	249558	12372740	1307653	12361149	0.85033	12366937	1.03977	12372740	1.11154	12361149	16661.766608258	12366937	240012.695115266	12372740	1176433.5966317	12377716	15184	12383504	615370	12389307	950925	12377716	0.85083	12383504	1.03921	12389307	1.11083	12377716	17846.1032168588	12383504	592151.730641545	12389307	856049.080417346	12394284	12033	12400056	1176548	12405859	2785766	12394284	0.85075	12400056	1.03939	12405859	1.11166	12394284	14143.9905965325	12400056	1131960.09197703	12405859	2505951.45997877	12410835	15837	12416623	523714	12422426	1534819	12410835	0.85048	12416623	1.03906	12422426	1.1108	12410835	18621.2491769354	12416623	504026.716455258	12422426	1381723.98271516
105	12481160	14424	12486948	249820	12492767	1305670	12481160	0.85097	12486948	1.0396	12492767	1.11103	12481160	16950.0687450791	12486948	240303.963062716	12492767	1175188.78878158	12497743	15094	12503531	614913	12509318	950748	12497743	0.85007	12503531	1.03904	12509318	1.11268	12497743	17756.1847847824	12503531	591808.785032338	12509318	854466.693029442	12514295	12268	12520082	1176606	12525901	2781904	12514295	0.85057	12520082	1.03977	12525901	1.11237	12514295	14423.2691018964	12520082	1131602.18125162	12525901	2500880.10284348	12530878	16130	12536665	522438	12542468	1533957	12530878	0.85029	12536665	1.03976	12542468	1.1118	12530878	18969.9984711099	12536665	502460.183119181	12542468	1379705.88235294
106	12601171	14454	12606959	249632	12612762	1310423	12601171	0.85096	12606959	1.0394	12612762	1.11269	12601171	16985.5222337125	12606959	240169.328458726	12612762	1177707.17809992	12617738	15367	12623526	614233	12629329	947671	12617738	0.85109	12623526	1.03983	12629329	1.11308	12617738	18055.669788154	12623526	590705.211428791	12629329	851395.227656593	12634306	12229	12640093	1177876	12645897	2780125	12634306	0.85066	12640093	1.03987	12645897	1.11177	12634306	14375.8963628242	12640093	1132714.66625636	12645897	2500629.62663141	12650889	15765	12656661	521882	12662464	1532460	12650889	0.85056	12656661	1.03957	12662464	1.11256	12650889	18534.8476297968	12656661	502017.180180267	12662464	1377417.84712735
107	12721182	14251	12726970	249950	12732773	1309293	12721182	0.85036	12726970	1.03937	12732773	1.11145	12721182	16758.7845147937	12726970	240482.215188047	12732773	1178004.40865536	12737734	15184	12743521	616420	12749325	948159	12737734	0.85043	12743521	1.04065	12749325	1.1123	12737734	17854.4971367426	12743521	592341.32513333	12749325	852430.998831251	12754301	12425	12760073	1177769	12765876	2778090	12754301	0.85021	12760073	1.03945	12765876	1.11193	12754301	14614.0365321509	12760073	1133069.41170811	12765876	2498439.64997797	12770853	16026	12776640	523221	12782459	1529095	12770853	0.85139	12776640	1.03938	12782459	1.11147	12770853	18823.3359564947	12776640	503397.217572014	12782459	1375741.1356132
108	12841193	14389	12846981	250201	12852784	1310632	12841193	0.85052	12846981	1.03908	12852784	1.11228	12841193	16917.8855288529	12846981	240790.891942873	12852784	1178329.19768404	12857760	15310	12863532	614499	12869351	945457	12857760	0.85078	12863532	1.03996	12869351	1.11245	12857760	17995.2514163474	12863532	590887.14950575	12869351	849887.185940941	12874328	12406	12880115	1176395	12885919	2772707	12874328	0.85043	12880115	1.03945	12885919	1.11188	12874328	14587.9143492116	12880115	1131747.55880514	12885919	2493710.65222866	12890895	16075	12896683	521875	12902486	1528981	12890895	0.85026	12896683	1.03903	12902486	1.11242	12890895	18905.9816997154	12896683	502271.349239194	12902486	1374463.7816652
109	12961204	14188	12966992	249354	12972795	1307278	12961204	0.84967	12966992	1.04018	12972795	1.11156	12961204	16698.2475549331	12966992	239721.971197293	12972795	1176075.06567347	12977771	15475	12983544	614270	12989362	942481	12977771	0.85018	12983544	1.04016	12989362	1.11169	12977771	18202.0278058764	12983544	590553.37640363	12989362	847791.200784391	12994339	12416	13000126	1179011	13005930	2768343	12994339	0.85027	13000126	1.03993	13005930	1.11197	12994339	14602.4204076352	13000126	1133740.73254931	13005930	2489584.25137369	13010890	16412	13016678	522470	13022481	1523437	13010890	0.8508	13016678	1.03998	13022481	1.11202	13010890	19290.0799247767	13016678	502384.661243486	13022481	1369972.66236219
