WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
26	3000275	105450	3006078	28806	3011881	3281076	3000275	0.84718	3006078	1.00831	3011881	1.09482	3000275	124471.77695413	3006078	28568.5949757515	3011881	2996909.08094481	3016858	111847	3022630	28747	3028433	3469566	3016858	0.84707	3022630	1.00773	3028433	1.09465	3016858	132039.855029691	3022630	28526.4902305181	3028433	3169566.52811401	3033425	116523	3039212	29319	3045000	3556919	3033425	0.84712	3039212	1.00846	3045000	1.09529	3033425	137551.940693172	3039212	29073.0420641374	3045000	3247467.79391759	3049992	110529	3055780	29475	3061583	3466900	3049992	0.84701	3055780	1.00772	3061583	1.09416	3049992	130493.146479971	3055780	29249.1962052951	3061583	3168549.389486
27	3120286	105511	3126089	26892	3131892	3270434	3120286	0.84698	3126089	1.00797	3131892	1.09496	3120286	124573.189449574	3126089	26679.3654573053	3131892	2986806.82399357	3136869	111767	3142672	27063	3148491	3453654	3136869	0.84706	3142672	1.00753	3148491	1.09501	3136869	131946.969518098	3142672	26860.7386380554	3148491	3153993.11421813	3153451	110488	3159270	28504	3165073	3438650	3153451	0.84681	3159270	1.00819	3165073	1.0945	3153451	130475.549414863	3159270	28272.4486455926	3165073	3141754.22567382	3170050	104910	3175837	28127	3181641	3337732	3170050	0.84684	3175837	1.00737	3181641	1.0943	3170050	123884.086722403	3175837	27921.2206041474	3181641	3050106.91766426
28	3240297	105641	3246100	26097	3251903	3261877	3240297	0.84705	3246100	1.008	3251903	1.09501	3240297	124716.368573284	3246100	25889.880952381	3251903	2978855.90085935	3256864	111976	3262667	26171	3268470	3442984	3256864	0.84668	3262667	1.00851	3268470	1.09581	3256864	132253.03538527	3262667	25950.1641034794	3268470	3141953.44083372	3273447	110948	3279219	27201	3285022	3432490	3273447	0.84778	3279219	1.00883	3285022	1.09582	3273447	130868.857486612	3279219	26962.9174390135	3285022	3132348.37838331	3289998	105414	3295786	26707	3301589	3326328	3289998	0.84747	3295786	1.00799	3301589	1.09539	3289998	124386.703954122	3295786	26495.3025327632	3301589	3036660.91529045
29	3360308	105526	3366111	25522	3371914	3247449	3360308	0.84764	3366111	1.00824	3371914	1.09486	3360308	124493.888915105	3366111	25313.417440292	3371914	2966086.07493196	3376875	111812	3382663	25722	3388466	3438847	3376875	0.84682	3382663	1.00776	3388466	1.09516	3376875	132037.505018776	3382663	25523.9342700643	3388466	3140040.72464297	3393442	111047	3399230	26266	3405033	3422867	3393442	0.84675	3399230	1.00784	3405033	1.09552	3393442	131144.966046649	3399230	26061.6764565804	3405033	3124422.19220096	3410009	105174	3415813	26036	3421600	3326113	3410009	0.84666	3415813	1.00847	3421600	1.09423	3410009	124222.237970378	3415813	25817.3272382917	3421600	3039683.61313435
30	3480319	105292	3486106	25384	3491925	3246582	3480319	0.84699	3486106	1.00828	3491925	1.09459	3480319	124313.155999481	3486106	25175.5464751855	3491925	2966025.63516933	3496902	111489	3502705	24909	3508508	3433321	3496902	0.84698	3502705	1.00858	3508508	1.09458	3496902	131631.207348462	3502705	24697.0988915108	3508508	3136656.0689945	3513484	111015	3519272	25955	3525060	3422445	3513484	0.84701	3519272	1.00843	3525060	1.09607	3513484	131066.929552189	3519272	25738.0284204159	3525060	3122469.36783235	3530036	104511	3535824	25261	3541627	3318669	3530036	0.84668	3535824	1.00866	3541627	1.09553	3530036	123436.245098502	3535824	25044.1179386513	3541627	3029281.71752485
31	3600330	101959	3606133	23593	3611952	3131515	3600330	0.85155	3606133	1.00879	3611952	1.09534	3600330	119733.427279667	3606133	23387.4245383083	3611952	2858943.34179342	3616913	105972	3622685	28334	3628488	3283062	3616913	0.84759	3622685	1.00916	3628488	1.09513	3616913	125027.430715322	3622685	28076.816362123	3628488	2997874.22497786	3633464	110529	3639236	25625	3645040	3414440	3633464	0.84705	3639236	1.00822	3645040	1.09539	3633464	130486.984239419	3639236	25416.079823848	3645040	3117099.84571705	3650016	105127	3655788	24692	3661607	3312661	3650016	0.84769	3655788	1.00845	3661607	1.09486	3650016	124015.854852599	3655788	24485.1008974168	3661607	3025648.02805838
32	3720341	98014	3726128	23853	3731947	3118226	3720341	0.84814	3726128	1.00832	3731947	1.09496	3720341	115563.468295329	3726128	23656.1805775944	3731947	2847799.0063564	3736924	103416	3742696	26192	3748499	3263302	3736924	0.84768	3742696	1.00867	3748499	1.09486	3736924	121998.867497169	3742696	25966.8672608484	3748499	2980565.55176004	3753491	103618	3759294	25045	3765097	3274975	3753491	0.8479	3759294	1.009	3765097	1.0954	3753491	122205.44875575	3759294	24821.6055500496	3765097	2989752.6017893	3770074	97469	3775861	24765	3781649	3167327	3770074	0.84735	3775861	1.00949	3781649	1.09573	3770074	115028.028559627	3775861	24532.1895214415	3781649	2890609.00039243
33	3840352	97953	3846139	25246	3851958	3103504	3840352	0.84816	3846139	1.00897	3851958	1.09573	3840352	115488.822863611	3846139	25021.5566369664	3851958	2832361.98698585	3856935	103841	3862707	28122	3868510	3270716	3856935	0.84786	3862707	1.00885	3868510	1.09503	3856935	122474.229235959	3862707	27875.3035634633	3868510	2986873.41899309	3873486	104089	3879274	26096	3885062	3244948	3873486	0.84784	3879274	1.00867	3885062	1.09503	3873486	122769.626344593	3879274	25871.6924266609	3885062	2963341.64360794	3890038	96836	3895826	25833	3901629	3148820	3890038	0.84733	3895826	1.00913	3901629	1.09538	3890038	114283.691123883	3895826	25599.2785865052	3901629	2874637.11223502
34	3960363	94908	3966150	27106	3971969	3028225	3960363	0.84667	3966150	1.00843	3971969	1.09538	3960363	112095.621670781	3966150	26879.4066023423	3971969	2764542.89835491	3976946	100515	3982718	29269	3988521	3190253	3976946	0.84724	3982718	1.00847	3988521	1.09497	3976946	118638.166281101	3982718	29023.1737186034	3988521	2913552.88272738	3993497	102127	3999285	27543	4005073	3199250	3993497	0.84745	3999285	1.00866	4005073	1.09614	3993497	120510.944598501	3999285	27306.525489263	4005073	2918650.90225701	4010049	96057	4015837	27901	4021655	3105321	4010049	0.84762	4015837	1.00841	4021655	1.0959	4010049	113325.546825228	4015837	27668.3095169623	4021655	2833580.61866959
35	4080374	90707	4086161	28732	4091949	2916275	4080374	0.84707	4086161	1.00862	4091949	1.0962	4080374	107083.239873918	4086161	28486.4468283397	4091949	2660349.38879766	4096941	96379	4102729	31475	4108516	3065056	4096941	0.84804	4102729	1.00895	4108516	1.09624	4096941	113649.120324513	4102729	31195.7976113782	4108516	2795971.68503247	4113493	98598	4119280	29926	4125115	3107271	4113493	0.84814	4119280	1.00891	4125115	1.0961	4113493	116252.033862334	4119280	29661.7141271273	4125115	2834842.62384819	4130076	91985	4135848	30648	4141651	3007105	4130076	0.84783	4135848	1.00804	4141651	1.0955	4130076	108494.627460694	4135848	30403.5554144677	4141651	2744961.20492926
36	4200385	83938	4206157	31895	4211976	2768519	4200385	0.84782	4206157	1.00884	4211976	1.09588	4200385	99004.5056733741	4206157	31615.518813687	4211976	2526297.58732708	4216952	90275	4222740	34043	4228543	2907825	4216952	0.84794	4222740	1.0087	4228543	1.09631	4216952	106463.900747694	4222740	33749.3803906018	4228543	2652374.78450438	4233504	92329	4239291	32924	4245095	2974554	4233504	0.84713	4239291	1.00872	4245095	1.09659	4233504	108990.355671503	4239291	32639.3845665794	4245095	2712548.90159494	4250087	85095	4255874	34394	4261677	2866687	4250087	0.84831	4255874	1.00938	4261677	1.09598	4250087	100311.206988011	4255874	34074.3822940815	4261677	2615638.05908867
37	4320396	75580	4326183	34957	4331987	2583167	4320396	0.84799	4326183	1.00863	4331987	1.09575	4320396	89128.4095331313	4326183	34657.902303124	4331987	2357441.93474789	4336963	81397	4342751	37400	4348554	2705195	4336963	0.84764	4342751	1.00887	4348554	1.09639	4336963	96027.794818555	4342751	37071.1786454152	4348554	2467365.6271947	4353530	83789	4359334	36557	4365137	2789721	4353530	0.8482	4359334	1.0091	4365137	1.09651	4353530	98784.4847913228	4359334	36227.3312853037	4365137	2544181.99560424	4370129	74441	4375916	38875	4381720	2685682	4370129	0.84864	4375916	1.00934	4381720	1.09678	4370129	87717.995852187	4375916	38515.267402461	4381720	2448697.09513303
38	4440407	65569	4446195	39503	4451998	2391672	4440407	0.84822	4446195	1.00984	4451998	1.09585	4440407	77301.8792294452	4446195	39118.078111384	4451998	2182481.17899348	4456974	70681	4462762	41194	4468549	2491085	4456974	0.84802	4462762	1.00979	4468549	1.09583	4456974	83348.2700879696	4462762	40794.6206637024	4468549	2273240.37487567	4473526	72749	4479313	41069	4485101	2578283	4473526	0.84761	4479313	1.00887	4485101	1.09618	4473526	85828.3880558276	4479313	40707.9207430095	4485101	2352061.7051944	4490077	64190	4495865	45525	4501684	2483234	4490077	0.84848	4495865	1.00951	4501684	1.09712	4490077	75652.9323024703	4495865	45096.1357490268	4501684	2263411.47732244
39	4560418	56781	4566206	43601	4572009	2195196	4560418	0.8483	4566206	1.00954	4572009	1.0967	4560418	66935.0465637157	4566206	43188.9771579135	4572009	2001637.64019331	4577001	61009	4582773	46220	4588576	2282894	4577001	0.84809	4582773	1.00961	4588576	1.09591	4577001	71936.9406548833	4582773	45780.0536840958	4588576	2083103.53952423	4593537	62875	4599324	46804	4605128	2367931	4593537	0.8483	4599324	1.00927	4605128	1.09648	4593537	74118.8258870683	4599324	46374.1119819275	4605128	2159575.18604991	4610104	55044	4615892	53150	4621695	2277683	4610104	0.84796	4615892	1.00955	4621695	1.09673	4610104	64913.4393131752	4615892	52647.2190579961	4621695	2076794.65319632
40	4680429	49995	4686217	49106	4692035	2018250	4680429	0.84812	4686217	1.01003	4692035	1.09737	4680429	58948.0262227043	4686217	48618.3578705583	4692035	1839170.01558271	4696996	53851	4702784	51459	4708587	2094869	4696996	0.84856	4702784	1.01002	4708587	1.09727	4696996	63461.62911285	4702784	50948.4960693848	4708587	1909164.5629608	4713563	54586	4719351	53725	4725154	2174637	4713563	0.84845	4719351	1.00913	4725154	1.09703	4713563	64336.1423772762	4719351	53238.9285820459	4725154	1982294.92356636	4730146	47362	4735918	62238	4741721	2090445	4730146	0.84935	4735918	1.00953	4741721	1.09734	4730146	55762.6420203685	4735918	61650.4710112627	4741721	1905011.2089234
41	4800440	44337	4806228	55365	4812046	1869702	4800440	0.84854	4806228	1.01022	4812046	1.09688	4800440	52250.9251184387	4806228	54804.8939834887	4812046	1704563.85383998	4817023	48193	4822795	57032	4828598	1940153	4817023	0.84837	4822795	1.00989	4828598	1.09743	4817023	56806.5820337824	4822795	56473.4773094099	4828598	1767905.92566268	4833559	48189	4839346	61379	4845150	2000964	4833559	0.84794	4839346	1.00909	4845150	1.09719	4833559	56830.6719815081	4839346	60826.0908343161	4845150	1823716.94966232	4850126	42175	4855914	72827	4861717	1931188	4850126	0.84866	4855914	1.00939	4861717	1.09692	4850126	49695.9913275045	4855914	72149.5160443436	4861717	1760555.00856945
42	4920451	40544	4926254	61267	4932057	1747951	4920451	0.84852	4926254	1.00938	4932057	1.09655	4920451	47782.0204591524	4926254	60697.6559868434	4932057	1594045.87114131	4937034	43857	4942821	63079	4948640	1807546	4937034	0.84821	4942821	1.00986	4948640	1.09702	4937034	51705.3559849566	4942821	62463.1136989286	4948640	1647687.37124209	4953617	43825	4959389	68483	4965192	1862405	4953617	0.84809	4959389	1.01	4965192	1.09689	4953617	51674.9401596529	4959389	67804.9504950495	4965192	1697895.86923028	4970168	37823	4975940	85384	4981743	1803455	4970168	0.84865	4975940	1.0097	4981743	1.09698	4970168	44568.4322158723	4975940	84563.7318015252	4981743	1644018.12248172
43	5040462	36860	5046250	68199	5052068	1655171	5040462	0.84814	5046250	1.01025	5052068	1.09735	5040462	43459.8061640767	5046250	67507.0527097253	5052068	1508334.62432223	5057060	40034	5062848	69599	5068651	1708280	5057060	0.84837	5062848	1.0101	5068651	1.09713	5057060	47189.3159824133	5062848	68903.0789030789	5068651	1557044.28827942	5073628	39570	5079415	77898	5085203	1749837	5073628	0.84875	5079415	1.00944	5085203	1.09638	5073628	46621.5022091311	5079415	77169.5197337138	5085203	1596013.24358343	5090179	35475	5095951	99016	5101754	1712243	5090179	0.84826	5095951	1.00986	5101754	1.09734	5090179	41820.903968123	5095951	98049.234547363	5101754	1560357.77425411
44	5160473	34714	5166261	74377	5172079	1586062	5160473	0.84819	5166261	1.01011	5172079	1.09693	5160473	40927.1507563164	5166261	73632.5746700855	5172079	1445909.94867494	5177056	37004	5182843	75148	5188647	1632562	5177056	0.84846	5182843	1.01016	5188647	1.09695	5177056	43613.1343846498	5182843	74392.175496951	5188647	1488273.85022107	5193623	37223	5199411	87058	5205214	1674514	5193623	0.8482	5199411	1.00953	5205214	1.09795	5193623	43884.6970054232	5199411	86236.169306509	5205214	1525127.73805729	5210190	33104	5215978	113780	5221781	1651026	5210190	0.84816	5215978	1.0101	5221781	1.09726	5210190	39030.3716279947	5215978	112642.312642313	5221781	1504680.7502324
45	5280484	32729	5286272	80394	5292075	1539372	5280484	0.84897	5286272	1.0095	5292075	1.09629	5280484	38551.4211338445	5286272	79637.4442793462	5292075	1404164.95635279	5297067	34969	5302839	80879	5308626	1584128	5297067	0.84852	5302839	1.00964	5308626	1.09667	5297067	41211.7569414981	5302839	80106.7707301613	5308626	1444489.22647652	5313603	35174	5319390	96269	5325194	1624386	5313603	0.84868	5319390	1.00953	5325194	1.09772	5313603	41445.5389546119	5319390	95360.217130744	5325194	1479781.72940276	5330170	31089	5335973	129470	5341776	1609470	5330170	0.8483	5335973	1.01028	5341776	1.09681	5330170	36648.5913002476	5335973	128152.591360811	5341776	1467410.03455475
46	5400495	31207	5406283	86919	5412086	1516803	5400495	0.84858	5406283	1.00993	5412086	1.09727	5400495	36775.5544556789	5406283	86064.3806996525	5412086	1382342.54103366	5417062	33246	5422850	87153	5428653	1553686	5417062	0.84865	5422850	1.00941	5428653	1.09698	5417062	39175.1605491074	5422850	86340.5355603769	5428653	1416330.28861055	5433629	33341	5439417	105471	5445220	1594409	5433629	0.84804	5439417	1.00898	5445220	1.09715	5433629	39315.3624829018	5439417	104532.299946481	5445220	1453227.90867247	5450212	29982	5455984	143766	5461787	1595166	5450212	0.848	5455984	1.00846	5461787	1.09685	5450212	35356.1320754717	5455984	142559.942883208	5461787	1454315.53995533
47	5520506	29675	5526294	92622	5532097	1502384	5520506	0.84866	5526294	1.00918	5532097	1.09707	5520506	34966.8889779181	5526294	91779.4645157455	5532097	1369451.35679583	5537089	31756	5542861	91791	5548664	1538625	5537089	0.84846	5542861	1.01032	5548664	1.09723	5537089	37427.8103858756	5542861	90853.392984401	5548664	1402281.19901935	5553656	31961	5559444	113457	5565247	1581097	5553656	0.84886	5559444	1.00965	5565247	1.09735	5553656	37651.6740098485	5559444	112372.60436785	5565247	1440832.00437417	5570223	29576	5576011	159820	5581814	1594789	5570223	0.84918	5576011	1.01005	5581814	1.09761	5570223	34828.8937563296	5576011	158229.790604426	5581814	1452965.07867093
48	5640517	28760	5646305	97757	5652108	1500634	5640517	0.84916	5646305	1.00986	5652108	1.09736	5640517	33868.764426021	5646305	96802.527082962	5652108	1367494.71458774	5657084	30566	5662872	97028	5668675	1534864	5657084	0.84889	5662872	1.0107	5668675	1.09726	5657084	36007.0209332187	5662872	96000.7915306223	5668675	1398815.23066548	5673651	30713	5679439	121285	5685242	1578656	5673651	0.8492	5679439	1.01036	5685242	1.09768	5673651	36166.9806877061	5679439	120041.371392375	5685242	1438175.06012681	5690219	28950	5696006	174280	5701825	1610744	5690219	0.84931	5696006	1.01015	5701825	1.09737	5690219	34086.4937419788	5696006	172528.832351631	5701825	1467822.15661081
49	5760528	27805	5766316	101979	5772119	1515113	5760528	0.84929	5766316	1.01056	5772119	1.09847	5760528	32739.1114931296	5766316	100913.354971501	5772119	1379293.92700757	5777095	29441	5782883	101222	5788686	1540416	5777095	0.84887	5782883	1.01076	5788686	1.09774	5777095	34682.5780154794	5782883	100144.445763584	5788686	1403261.24583235	5793678	29796	5799466	128576	5805269	1589319	5793678	0.84914	5799466	1.01046	5805269	1.09871	5793678	35089.6200862049	5799466	127245.017120915	5805269	1446531.8418873	5810277	27922	5816080	188963	5821899	1644401	5810277	0.84866	5816080	1.01048	5821899	1.09782	5810277	32901.2796644121	5816080	187003.20639696	5821899	1497878.52289082
50	5880539	26935	5886327	106274	5892130	1532908	5880539	0.84992	5886327	1.01078	5892130	1.0982	5880539	31691.217996988	5886327	105140.5844991	5892130	1395836.82389364	5897106	28560	5902894	104089	5908697	1558439	5897106	0.849	5902894	1.01064	5908697	1.09795	5897106	33639.5759717315	5902894	102993.152853637	5908697	1419407.98761328	5913673	28913	5919461	135582	5925264	1615847	5913673	0.84966	5919461	1.01045	5925264	1.09843	5913673	34028.905679919	5919461	134179.820871889	5925264	1471051.40973936	5930241	27799	5936044	201679	5941832	1687525	5930241	0.84851	5936044	1.01132	5941832	1.09855	5930241	32762.1359795406	5936044	199421.548075782	5941832	1536138.54626553
51	6000550	26776	6006338	109197	6012141	1560389	6000550	0.84987	6006338	1.01089	6012141	1.09886	6000550	31505.9950345347	6006338	108020.655066328	6012141	1420007.09826548	6017117	28068	6022905	107385	6028708	1583124	6017117	0.84914	6022905	1.0108	6028708	1.0984	6017117	33054.6199684387	6022905	106237.633557578	6028708	1441300.07283321	6033684	28627	6039472	141793	6045291	1646583	6033684	0.8487	6039472	1.00996	6045291	1.09865	6033684	33730.4112171557	6039472	140394.669095806	6045291	1498732.99048833	6050267	26845	6056055	214129	6061858	1737098	6050267	0.84915	6056055	1.01041	6061858	1.09738	6050267	31613.9669080846	6056055	211922.882790154	6061858	1582950.29980499
52	6120561	25584	6126349	112543	6132152	1595302	6120561	0.8494	6126349	1.01062	6132152	1.09828	6120561	30120.084765717	6126349	111360.353050603	6132152	1452545.79888553	6137128	27358	6142916	110827	6148703	1609922	6137128	0.84941	6142916	1.01025	6148703	1.09721	6137128	32208.2386597756	6142916	109702.548874041	6148703	1467287.0280074	6153680	28206	6159468	146902	6165271	1688020	6153680	0.84922	6159468	1.0098	6165271	1.09765	6153680	33214.0081486541	6159468	145476.33194692	6165271	1537849.04113333	6170247	27085	6176035	225474	6181838	1801452	6170247	0.84849	6176035	1.00922	6181838	1.0974	6170247	31921.4133342762	6176035	223414.121797031	6181838	1641563.69600875
53	6240572	25657	6246360	115696	6252163	1635317	6240572	0.84914	6246360	1.01061	6252163	1.09757	6240572	30215.2766328285	6246360	114481.352846301	6252163	1489943.23824449	6257139	26835	6262927	112899	6268715	1644946	6257139	0.84878	6262927	1.01042	6268715	1.09832	6257139	31615.9664459577	6262927	111734.724174106	6268715	1497692.83997378	6273691	27802	6279479	150945	6285282	1733362	6273691	0.84915	6279479	1.01047	6285282	1.09809	6273691	32740.976270388	6279479	149380.981127594	6285282	1578524.52895482	6290274	26141	6296046	234566	6301849	1870518	6290274	0.84881	6296046	1.00973	6301849	1.09757	6290274	30797.2337743429	6296046	232305.665871074	6301849	1704235.72072852
54	6360583	25367	6366371	116887	6372174	1678197	6360583	0.84906	6366371	1.0098	6372174	1.09724	6360583	29876.5693826114	6366371	115752.624282036	6372174	1529471.21869418	6377150	26582	6382938	114401	6388741	1683436	6377150	0.84862	6382938	1.01081	6388741	1.0975	6377150	31323.796281021	6382938	113177.55067718	6388741	1533882.46013667	6393718	27011	6399505	154478	6405308	1780614	6393718	0.849	6399505	1.01042	6405308	1.0977	6393718	31815.0765606596	6399505	152884.938936284	6405308	1622131.72998087	6410285	26423	6416072	244877	6421876	1955190	6410285	0.84847	6416072	1.00973	6421876	1.09669	6410285	31141.9378410551	6416072	242517.306606717	6421876	1782810.09218649
55	6480594	24787	6486397	119424	6492201	1724161	6480594	0.84856	6486397	1.00972	6492201	1.09775	6480594	29210.662769869	6486397	118274.373093531	6492201	1570631.74675473	6497177	25750	6502949	115764	6508752	1729070	6497177	0.84862	6502949	1.00996	6508752	1.09832	6497177	30343.3810185949	6502949	114622.361281635	6508752	1574286.18253332	6513713	26988	6519501	157750	6525319	1840418	6513713	0.84924	6519501	1.00985	6525319	1.09712	6513713	31779.0024021478	6519501	156211.31851265	6525319	1677499.27081814	6530296	26446	6536083	253605	6541887	2041678	6530296	0.84869	6536083	1.01057	6541887	1.09863	6530296	31160.9657236447	6536083	250952.432785458	6541887	1858385.44368896
56	6600605	24822	6606393	120856	6612212	1779391	6600605	0.84866	6606393	1.00999	6612212	1.09847	6600605	29248.4622817147	6606393	119660.590698918	6612212	1619881.28942984	6617188	26126	6622960	116576	6628763	1774641	6617188	0.84889	6622960	1.0095	6628763	1.09733	6617188	30776.6612870926	6622960	115478.949975235	6628763	1617235.47155368	6633740	26708	6639527	161326	6645330	1906762	6633740	0.84842	6639527	1.0101	6645330	1.09811	6633740	31479.6916621485	6639527	159712.8997129	6645330	1736403.45684859	6650307	26702	6656094	260641	6661898	2121669	6650307	0.84941	6656094	1.01047	6661898	1.09717	6650307	31435.9378862976	6656094	257940.36438489	6661898	1933765.0500834
57	6720616	24061	6726388	121659	6732191	1836332	6720616	0.84832	6726388	1.01004	6732191	1.09835	6720616	28363.1176914372	6726388	120449.685160984	6732191	1671900.57813994	6737183	25556	6742971	117435	6748774	1823254	6737183	0.84767	6742971	1.01034	6748774	1.09715	6737183	30148.5247796902	6742971	116233.149236891	6748774	1661809.23301281	6753751	26570	6759538	163484	6765341	1969371	6753751	0.84804	6759538	1.00967	6765341	1.09737	6753751	31331.0692891845	6759538	161918.250517496	6765341	1794628.06528336	6770318	26429	6776121	267176	6781924	2208490	6770318	0.84785	6776121	1.00991	6781924	1.0973	6770318	31171.7874624049	6776121	264554.26721193	6781924	2012658.34320605
58	6840627	24158	6846399	122372	6852202	1889271	6840627	0.84826	6846399	1.00986	6852202	1.09759	6840627	28479.4756324712	6846399	121177.192878221	6852202	1721290.28143478	6857179	25553	6862966	117456	6868770	1870169	6857179	0.8472	6862966	1.00955	6868770	1.09729	6857179	30161.7091595845	6862966	116344.906146303	6868770	1704352.54126074	6873746	26590	6879534	163557	6885337	2030778	6873746	0.84806	6879534	1.01029	6885337	1.09784	6873746	31353.913638186	6879534	161891.140167675	6885337	1849794.14122276	6890329	26379	6896116	273114	6901920	2292616	6890329	0.84779	6896116	1.0099	6901920	1.09777	6890329	31115.016690454	6896116	270436.676898703	6901920	2088430.18118549
59	6960638	24078	6966426	122491	6972229	1943301	6960638	0.8476	6966426	1.00934	6972229	1.09587	6960638	28407.2675790467	6966426	121357.520756138	6972229	1773295.19012292	6977205	25311	6982993	117369	6988796	1918095	6977205	0.84753	6982993	1.00918	6988796	1.09589	6977205	29864.4295777141	6982993	116301.353574189	6988796	1750262.34384838	6993788	26285	6999560	164642	7005379	2101123	6993788	0.84721	6999560	1.00881	7005379	1.09781	6993788	31025.3656118318	6999560	163204.171251276	7005379	1913922.26341535	7010355	26647	7016143	278628	7021946	2368906	7010355	0.84816	7016143	1.01005	7021946	1.0977	7010355	31417.4212412752	7016143	275855.650710361	7021946	2158063.22310285
60	7080649	23826	7086452	122698	7092256	2002243	7080649	0.84781	7086452	1.00966	7092256	1.09665	7080649	28102.9947747727	7086452	121524.077412198	7092256	1825781.24287603	7097232	25689	7103020	117443	7108807	1970908	7097232	0.84823	7103020	1.00969	7108807	1.09776	7097232	30285.4178701531	7103020	116315.898939278	7108807	1795390.61361318	7113799	26253	7119571	166883	7125374	2168313	7113799	0.84869	7119571	1.01004	7125374	1.09797	7113799	30933.5564222508	7119571	165224.149538632	7125374	1974838.11033088	7130366	26796	7136154	283604	7141957	2440184	7130366	0.84919	7136154	1.01086	7141957	1.09763	7130366	31554.7757274579	7136154	280557.149357972	7141957	2223138.94481747
61	7200660	24367	7206448	123094	7212267	2066046	7200660	0.84813	7206448	1.00961	7212267	1.09832	7200660	28730.2654074257	7206448	121922.326442884	7212267	1881096.58387355	7217243	25198	7223015	116392	7228818	2014716	7217243	0.8482	7223015	1.00998	7228818	1.09776	7217243	29707.6161282716	7223015	115241.88597794	7228818	1835297.33275033	7233795	26062	7239582	168430	7245370	2236691	7233795	0.84869	7239582	1.01033	7245370	1.09793	7233795	30708.5036939283	7239582	166707.907317411	7245370	2037189.07398468	7250346	26476	7256149	286688	7261953	2504114	7250346	0.84837	7256149	1.00975	7261953	1.098	7250346	31208.0813795867	7256149	283919.782124288	7261953	2280613.84335155
62	7320671	23975	7326459	122864	7332278	2118363	7320671	0.84915	7326459	1.00896	7332278	1.09822	7320671	28234.1164694106	7326459	121772.914684428	7332278	1928905.86585566	7337254	25011	7343042	115148	7348876	2058366	7337254	0.84864	7343042	1.01026	7348876	1.0983	7337254	29471.8608597285	7343042	113978.579771544	7348876	1874138.21360284	7353852	26422	7359624	167454	7365428	2298327	7353852	0.84867	7359624	1.01029	7365428	1.09697	7353852	31133.4205285918	7359624	165748.448465292	7365428	2095159.39360238	7370420	28466	7376207	883264	7382010	2487965	7370420	0.8485	7376207	1.01074	7382010	1.09812	7370420	33548.6152032999	7376207	873878.544432792	7382010	2265658.58011875
63	7440682	23782	7446485	123127	7452289	2175267	7440682	0.84874	7446485	1.00923	7452289	1.09775	7440682	28020.3595918656	7446485	122000.931403149	7452289	1981568.66317468	7457265	25416	7463037	113553	7468840	2103157	7457265	0.84934	7463037	1.01027	7468840	1.09849	7457265	29924.411896296	7463037	112398.665703228	7468840	1914589.11778896	7473817	25968	7479604	167436	7485392	2353946	7473817	0.84942	7479604	1.00974	7485392	1.09689	7473817	30571.4487532669	7479604	165820.904391229	7485392	2146018.288069	7490368	28526	7496156	893109	7501975	2568750	7490368	0.84854	7496156	1.00932	7501975	1.09837	7490368	33617.7434181064	7496156	884862.085364404	7501975	2338692.79022552
64	7560693	23565	7566481	123004	7572300	2226226	7560693	0.84919	7566481	1.00926	7572300	1.09744	7560693	27749.9735041628	7566481	121875.43348592	7572300	2028562.83714827	7577276	25142	7583079	112822	7588898	2151557	7577276	0.8488	7583079	1.01004	7588898	1.09842	7577276	29620.6409048068	7583079	111700.526711813	7588898	1958774.42144171	7593874	26526	7599662	166524	7605465	2410951	7593874	0.8493	7599662	1.00997	7605465	1.099	7593874	31232.7799364182	7599662	164880.144954801	7605465	2193767.97088262	7610442	28509	7616229	901623	7622032	2637666	7610442	0.84881	7616229	1.01059	7622032	1.0977	7610442	33587.0218305628	7616229	892174.86814633	7622032	2402902.43235857
