WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	121316	605842	1158015	611661	3611386	600055	0.84283	605842	1.00353	611661	1.08893	600055	143938.872607762	605842	1153941.58620071	611661	3316453.76654147	616637	130129	622409	1240996	628213	3835549	616637	0.84359	622409	1.00317	628213	1.08914	616637	154256.214511789	622409	1237074.47391768	628213	3521630.82799273	633173	128037	638961	1223667	644764	3782456	633173	0.84336	638961	1.00312	644764	1.08973	633173	151817.729083665	638961	1219861.03357525	644764	3471002.90897745	649725	122519	655528	1220664	661347	3704916	649725	0.84267	655528	1.00385	661347	1.08941	649725	145393.807777659	655528	1215982.46750012	661347	3400846.32966468
7	720066	120946	725853	1157965	731672	3598093	720066	0.84322	725853	1.00336	731672	1.08966	720066	143433.504897891	725853	1154087.26678361	731672	3302032.74415873	736648	129534	742452	1241584	748255	3824656	736648	0.84283	742452	1.00374	748255	1.08927	736648	153689.356097908	742452	1236957.77791061	748255	3511210.26008244	753231	128238	759019	1218975	764822	3770127	753231	0.84311	759019	1.00415	764822	1.09052	753231	152101.149316222	759019	1213937.16078275	764822	3457182.81186957	769798	122471	775586	1220558	781389	3694391	769798	0.84332	775586	1.004	781389	1.08943	769798	145224.825688944	775586	1215695.21912351	781389	3391122.88077251
8	840077	120556	845880	1156466	851683	3584405	840077	0.84371	845880	1.00411	851683	1.08941	840077	142887.959132877	845880	1151732.37991854	851683	3290225.90209379	856659	129904	862447	1237756	868250	3817654	856659	0.84374	862447	1.00419	868250	1.08982	856659	153962.121032546	862447	1232591.44185861	868250	3503013.34165275	873227	127696	879014	1219942	884817	3761273	873227	0.84344	879014	1.00379	884817	1.09096	873227	151399.032533435	879014	1215335.87702607	884817	3447672.69194104	889794	122481	895581	1216307	901385	3688858	889794	0.8438	895581	1.00436	901385	1.09096	889794	145154.0649443	895581	1211026.92261739	901385	3381295.3728826
9	960088	120495	965875	1154151	971694	3579557	960088	0.84356	965875	1.004	971694	1.09013	960088	142841.054578216	965875	1149552.78884462	971694	3283605.6250172	976670	129720	982442	1238092	988246	3810625	976670	0.84399	982442	1.00415	988246	1.09031	976670	153698.503536772	982442	1232975.15311457	988246	3494992.24991058	993238	128811	999025	1219030	1004828	3763102	993238	0.84367	999025	1.00412	1004828	1.09093	993238	152679.365154622	999025	1214028.20380034	1004828	3449444.05232233	1009820	122364	1015608	1217315	1021411	3686141	1009820	0.84384	1015608	1.00492	1021411	1.09058	1009820	145008.532423208	1015608	1211355.13274689	1021411	3379982.21130041
10	1080099	120112	1085886	1153112	1091689	3578353	1080099	0.84382	1085886	1.00363	1091689	1.09028	1080099	142343.15375317	1085886	1148941.34292518	1091689	3282049.56524929	1096666	130234	1102453	1235408	1108257	3806346	1096666	0.84412	1102453	1.00495	1108257	1.09083	1096666	154283.751125432	1102453	1229322.85188318	1108257	3489403.48175243	1113233	128248	1119021	1216512	1124824	3748748	1113233	0.84423	1119021	1.00523	1124824	1.0898	1113233	151911.209030714	1119021	1210182.74424759	1124824	3439849.51367223	1129816	121830	1135603	1210809	1141407	3677928	1129816	0.84397	1135603	1.00484	1141407	1.09021	1129816	144353.47227982	1135603	1204976.91174714	1141407	3373595.91271406
11	1200110	114723	1205913	808850	1211716	3452819	1200110	0.84355	1205913	1.00491	1211716	1.09066	1200110	136000.237093237	1205913	804897.951060294	1211716	3165806.94258522	1216692	120902	1222496	887317	1228314	3654201	1216692	0.84374	1222496	1.00522	1228314	1.09036	1216692	143292.957546164	1222496	882709.257674937	1228314	3351371.10679042	1233275	127941	1239047	1217766	1244866	3751846	1233275	0.84398	1239047	1.00505	1244866	1.09105	1233275	151592.454797507	1239047	1211647.18173225	1244866	3438747.99505064	1249827	121849	1255615	1215122	1261418	3676940	1249827	0.84394	1255615	1.00491	1261418	1.0913	1249827	144381.117141029	1255615	1209184.90213054	1261418	3369320.99331073
12	1320121	112471	1325908	431918	1331727	3436098	1320121	0.84475	1325908	1.00556	1331727	1.09143	1320121	133141.166025451	1325908	429529.814232865	1331727	3148253.20909266	1336703	118727	1342507	462881	1348310	3638207	1336703	0.84438	1342507	1.00509	1348310	1.09199	1336703	140608.493806106	1342507	460536.867345213	1348310	3331721.90221522	1353271	128324	1359058	1218330	1364861	3738912	1353271	0.84452	1359058	1.00529	1364861	1.0919	1353271	151949.036138872	1359058	1211918.94876105	1364861	3424225.66169063	1369854	122797	1375626	1213396	1381429	3670215	1369854	0.84494	1375626	1.0054	1381429	1.09241	1369854	145332.212938197	1375626	1206878.85418739	1381429	3359741.30591994
13	1440132	112415	1445919	250655	1451738	3437728	1440132	0.84515	1445919	1.00598	1451738	1.09126	1440132	133011.891380228	1445919	249164.993339828	1451738	3150237.3403222	1456699	119165	1462471	267097	1468274	3639724	1456699	0.84491	1462471	1.00597	1468274	1.0924	1456699	141038.690511415	1462471	265511.893992863	1468274	3331860.12449652	1473266	129003	1479054	1221069	1484857	3752629	1473266	0.84478	1479054	1.00612	1484857	1.0922	1473266	152706.0299723	1479054	1213641.51393472	1484857	3435844.16773485	1489849	121383	1495637	1211906	1501440	3663465	1489849	0.84542	1495637	1.0064	1501440	1.09206	1489849	143577.156916089	1495637	1204199.12559618	1501440	3354637.10785122
14	1560143	112049	1565930	154974	1571749	3430959	1560143	0.84507	1565930	1.00632	1571749	1.09196	1560143	132591.382962358	1565930	154000.715478178	1571749	3142018.93842265	1576725	118669	1582497	162495	1588301	3632431	1576725	0.84582	1582497	1.00573	1588301	1.09294	1576725	140300.53675723	1582497	161569.208435664	1588301	3323541.09100225	1593277	120075	1599065	690424	1604868	3605964	1593277	0.84517	1599065	1.00693	1604868	1.09206	1593277	142072.009181585	1599065	685672.291023209	1604868	3301983.40750508	1609829	113850	1615632	715200	1621435	3521940	1609829	0.84556	1615632	1.00664	1621435	1.09249	1609829	134644.495955343	1615632	710482.396884686	1621435	3223773.21531547
15	1680154	112234	1685941	102171	1691760	3430555	1680154	0.8459	1685941	1.00617	1691760	1.09321	1680154	132679.985813926	1685941	101544.470616297	1691760	3138056.7320094	1696721	118500	1702508	105693	1708312	3625288	1696721	0.84531	1702508	1.00581	1708312	1.09336	1696721	140185.257479505	1702508	105082.470844394	1708312	3315731.32362625	1713288	118731	1719076	370522	1724879	3595635	1713288	0.84584	1719076	1.00686	1724879	1.09256	1713288	140370.519247139	1719076	367997.536896887	1724879	3291018.34224207	1729855	112419	1735659	387564	1741462	3517708	1729855	0.8458	1735659	1.00707	1741462	1.09319	1729855	132914.40056751	1735659	384843.158866812	1741462	3217837.70433319
