WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	118004	605842	1147784	611661	3425194	600055	0.83483	605842	1.00248	611661	1.04838	600055	141350.933723033	605842	1144944.53754688	611661	3267130.23903546	616637	122165	622425	1163276	628228	3474939	616637	0.83506	622425	1.0026	628228	1.04856	616637	146294.877014825	622425	1160259.32575304	628228	3314010.64316777	633205	118349	638992	1172417	644795	3483040	633205	0.83465	638992	1.00251	644795	1.04867	633205	141794.76427245	638992	1169481.60118104	644795	3321388.04390323
7	720066	118288	725853	1147792	731672	3422173	720066	0.83455	725853	1.00314	731672	1.04968	720066	141738.661554131	725853	1144199.21446658	731672	3260205.96753296	736695	121169	742483	1164816	748286	3476080	736695	0.83463	742483	1.00311	748286	1.04944	736695	145176.90473623	742483	1161204.65352753	748286	3312318.95105961	753262	117508	759050	1171928	764853	3480040	753262	0.83461	759050	1.00365	764853	1.04841	753262	140793.903739471	759050	1167666.01903054	764853	3319350.25419445
8	840077	117730	845880	1146951	851683	3424950	840077	0.83429	845880	1.00284	851683	1.04918	840077	141114.001126707	845880	1143702.88380998	851683	3264406.48887703	856659	120692	862463	1164161	868266	3464603	856659	0.83362	862463	1.00275	868266	1.04802	856659	144780.595475157	862463	1160968.33707305	868266	3305855.80427854	873242	118455	879030	1171591	884849	3483242	873242	0.83486	879030	1.00303	884849	1.04863	873242	141886.064729416	879030	1168051.8030368	884849	3321707.37056922
9	960088	118211	965875	1147293	971694	3415192	960088	0.83532	965875	1.00311	971694	1.04846	960088	141515.826270172	965875	1143735.98109878	971694	3257341.24334739	976655	120488	982442	1163186	988246	3462701	976655	0.8349	982442	1.00301	988246	1.04896	976655	144314.289136424	982442	1159695.31709554	988246	3301080.11744966	993222	117541	999010	1170220	1004813	3473984	993222	0.83439	999010	1.00334	1004813	1.04861	993222	140870.576109493	999010	1166324.47624933	1004813	3312941.89450797
10	1080099	118542	1085886	1144782	1091689	3406656	1080099	0.83512	1085886	1.00228	1091689	1.04823	1080099	141946.067630999	1085886	1142177.83453726	1091689	3249912.70999685	1096650	121379	1102438	1162582	1108225	3455722	1096650	0.83456	1102438	1.00294	1108225	1.04829	1096650	145440.711273006	1102438	1159174.02835663	1108225	3296532.44808212	1113217	117907	1119005	1166953	1124808	3462985	1113217	0.83477	1119005	1.00294	1124808	1.04829	1113217	141244.893803083	1119005	1163532.21528706	1124808	3303460.87437637
11	1200110	117759	1205913	1142609	1211716	3401458	1200110	0.83463	1205913	1.00275	1211716	1.04839	1200110	141091.261996334	1205913	1139475.44253303	1211716	3244458.64611452	1216692	120963	1222480	1163772	1228283	3459413	1216692	0.83475	1222480	1.0032	1228283	1.0493	1216692	144909.254267745	1222480	1160059.80861244	1228283	3296876.96559611	1233260	114472	1239047	1140718	1244850	3392452	1233260	0.83488	1239047	1.00238	1244850	1.04905	1233260	137111.920275968	1239047	1138009.53730122	1244850	3233832.51513274
12	1320121	105978	1325908	581201	1331711	3131394	1320121	0.83483	1325908	1.00241	1331711	1.04858	1320121	126945.605692177	1325908	579803.673147714	1331711	2986318.64044708	1336688	113865	1342475	630457	1348279	3292958	1336688	0.83463	1342475	1.00309	1348279	1.0485	1336688	136425.721577226	1342475	628514.888993012	1348279	3140637.10061993	1353255	107683	1359043	646125	1364846	3262749	1353255	0.83452	1359043	1.00296	1364846	1.04826	1353255	129035.852945406	1359043	644218.114381431	1364846	3112537.91998168
13	1440132	103913	1445919	238495	1451722	3124952	1440132	0.83469	1445919	1.003	1451722	1.04956	1440132	124492.925517258	1445919	237781.655034895	1451722	2977392.43111399	1456683	113050	1462471	253665	1468274	3277429	1456683	0.83523	1462471	1.00252	1468274	1.04898	1456683	135351.938986866	1462471	253027.371025017	1468274	3124396.08000153	1473250	106695	1479038	257551	1484826	3249824	1473250	0.83452	1479038	1.00308	1484826	1.04865	1473250	127851.938839093	1479038	256760.178649759	1484826	3099054.97544462
14	1560143	103919	1565930	115076	1571749	3114255	1560143	0.83456	1565930	1.0029	1571749	1.04879	1560143	124519.507285276	1565930	114743.244590687	1571749	2969378.99865559	1576710	111053	1582497	120420	1588301	3270019	1576710	0.83443	1582497	1.00265	1588301	1.04904	1576710	133088.45559244	1582497	120101.730414402	1588301	3117153.7786929	1593277	105596	1599065	124281	1604868	3242033	1593277	0.83463	1599065	1.00198	1604868	1.04923	1593277	126518.337466902	1599065	124035.409888421	1604868	3089916.41489473
15	1680154	103324	1685941	65698	1691760	3110925	1680154	0.83419	1685941	1.00265	1691760	1.04944	1680154	123861.47040842	1685941	65524.3604448212	1691760	2964366.70986431	1696721	111946	1702508	68396	1708312	3264972	1696721	0.83453	1702508	1.00216	1708312	1.04752	1696721	134142.57126766	1702508	68248.5830605892	1708312	3116858.86665648	1713304	106913	1719076	72328	1724895	3239758	1713304	0.83429	1719076	1.00203	1724895	1.04831	1713304	128148.485538602	1719076	72181.4716126264	1724895	3090457.97521725
