WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	96526	605842	1018911	611661	2424447	600055	0.83822	605842	1.00454	611661	1.0565	600055	115155.925651977	605842	1014306.05053059	611661	2294791.29200189	616622	93403	622394	992065	628213	2441298	616622	0.83807	622394	1.00479	628213	1.05536	616622	111450.117531948	622394	987335.662178167	628213	2313237.18920558	633189	87515	638977	982158	644764	2508853	633189	0.8375	638977	1.00385	644764	1.05567	633189	104495.52238806	638977	978391.193903472	644764	2376550.43716313
7	720066	96544	725853	1019198	731672	2405193	720066	0.83888	725853	1.00529	731672	1.05603	720066	115086.782376502	725853	1013834.81383481	731672	2277580.18238118	736633	93494	742405	991752	748208	2437687	736633	0.83824	742405	1.00517	748208	1.05659	736633	111536.075586944	742405	986651.014256295	748208	2307126.70004448	753184	87844	758972	982750	764775	2506176	753184	0.83811	758972	1.00427	764775	1.05597	753184	104812.017515601	758972	978571.499696297	764775	2373340.15170886
8	840077	96684	845864	1018684	851683	2389264	840077	0.83841	845864	1.00455	851683	1.05553	840077	115318.281031953	845864	1014069.98158379	851683	2263568.06533211	856644	93287	862416	989162	868219	2429567	856644	0.83809	862416	1.00529	868219	1.05647	856644	111309.047954277	862416	983956.868167395	868219	2299702.78379888	873195	87791	878967	982178	884771	2496863	873195	0.83812	878967	1.00497	884771	1.05497	873195	104747.530186608	878967	977320.716041275	884771	2366762.08802146
9	960088	96159	965875	1016264	971694	2378183	960088	0.83832	965875	1.0053	971694	1.0573	960088	114704.408817635	965875	1010906.19715508	971694	2249298.21242788	976655	94073	982442	990919	988246	2424504	976655	0.83899	982442	1.00524	988246	1.0567	976655	112126.485416989	982442	985753.650869444	988246	2294410.90186429	993238	88069	999010	981967	1004813	2492093	993238	0.83819	999010	1.00468	1004813	1.05574	993238	105070.449420776	999010	977392.8016881	1004813	2360517.7411105
10	1080099	97158	1085886	1016403	1091705	2362454	1080099	0.83848	1085886	1.00455	1091705	1.05624	1080099	115873.962408167	1085886	1011799.31312528	1091705	2236664.015754	1096681	94346	1102469	990261	1108288	2421023	1096681	0.83794	1102469	1.00467	1108288	1.05585	1096681	112592.78707306	1102469	985657.97724626	1108288	2292961.12137141	1113264	87975	1119052	982062	1124839	2491780	1113264	0.83822	1119052	1.00462	1124839	1.0563	1113264	104954.546539095	1119052	977545.738687265	1124839	2358969.98958629
11	1200110	86635	1205897	622077	1211700	2458647	1200110	0.83747	1205897	1.00445	1211700	1.05524	1200110	103448.481736659	1205897	619321.021454527	1211700	2329941.05606308	1216677	86917	1222464	634170	1228252	2493169	1216677	0.83747	1222464	1.00541	1228252	1.05563	1216677	103785.210216485	1222464	630757.601376553	1228252	2361783.0110929	1233228	82419	1239016	649591	1244819	2464918	1233228	0.83803	1239016	1.00495	1244819	1.05593	1233228	98348.5078099829	1239016	646391.362754366	1244819	2334357.39111494
12	1320121	85963	1325908	324900	1331727	2447949	1320121	0.83798	1325908	1.00431	1331727	1.05529	1320121	102583.593880522	1325908	323505.690474057	1331727	2319693.16491201	1336703	85959	1342475	327090	1348263	2486415	1336703	0.83832	1342475	1.00484	1348263	1.05587	1336703	102537.217291726	1342475	325514.5097727	1348263	2354849.55534299	1353255	81891	1359027	323261	1364830	2454847	1353255	0.838	1359027	1.00429	1364830	1.05535	1353255	97721.9570405728	1359027	321880.134224178	1364830	2326097.50319799
13	1440132	85697	1445919	180148	1451722	2444219	1440132	0.8382	1445919	1.00415	1451722	1.0555	1440132	102239.322357433	1445919	179403.475576358	1451722	2315697.77356703	1456699	85412	1462471	182002	1468274	2482708	1456699	0.83833	1462471	1.00435	1468274	1.05521	1456699	101883.506495056	1462471	181213.720316623	1468274	2352809.39339089	1473250	81766	1479038	176708	1484841	2451925	1473250	0.83806	1479038	1.0044	1484841	1.0571	1473250	97565.8067441472	1479038	175933.890880127	1484841	2319482.54658973
14	1560143	84929	1565946	106686	1571749	2437876	1560143	0.83759	1565946	1.00436	1571749	1.05523	1560143	101396.864814527	1565946	106222.868294237	1571749	2310279.27560816	1576725	85076	1582497	108321	1588301	2481496	1576725	0.83776	1582497	1.00407	1588301	1.05578	1576725	101551.757066463	1582497	107881.920583226	1588301	2350391.17998068	1593277	80888	1599065	105378	1604852	2448128	1593277	0.83803	1599065	1.00478	1604852	1.05461	1593277	96521.6042385118	1599065	104876.689424551	1604852	2321358.60649909
15	1680154	85444	1685941	68726	1691744	2438928	1680154	0.83833	1685941	1.00434	1691744	1.05673	1680154	101921.677620985	1685941	68429.0180616126	1691744	2307995.41983288	1696721	85245	1702493	69437	1708281	2478320	1696721	0.83823	1702493	1.00436	1708281	1.05617	1696721	101696.431766937	1702493	69135.5689195109	1708281	2346516.18584129	1713257	81754	1719045	68154	1724848	2447140	1713257	0.8386	1719045	1.00429	1724848	1.05553	1713257	97488.6715955164	1719045	67862.8682950144	1724848	2318399.2875617
